ValoresRms,Tempo,TimeStamp,ClasseAparelho
2.806,02/07/2020 14:16:12.322,1593710172322,0
2.812,02/07/2020 14:16:12.822,1593710172822,0
2.817,02/07/2020 14:16:13.322,1593710173322,0
2.815,02/07/2020 14:16:13.822,1593710173822,0
2.803,02/07/2020 14:16:14.322,1593710174322,0
2.804,02/07/2020 14:16:14.822,1593710174822,0
2.812,02/07/2020 14:16:15.322,1593710175322,0
2.813,02/07/2020 14:16:15.822,1593710175822,0
2.814,02/07/2020 14:16:16.322,1593710176322,0
2.806,02/07/2020 14:16:16.822,1593710176822,0
2.811,02/07/2020 14:16:17.322,1593710177322,0
2.809,02/07/2020 14:16:17.822,1593710177822,0
2.808,02/07/2020 14:16:18.322,1593710178322,0
2.806,02/07/2020 14:16:18.822,1593710178822,0
2.794,02/07/2020 14:16:19.322,1593710179322,0
2.787,02/07/2020 14:16:19.822,1593710179822,0
2.767,02/07/2020 14:16:20.322,1593710180322,0
2.784,02/07/2020 14:16:20.822,1593710180822,0
2.795,02/07/2020 14:16:21.322,1593710181322,0
2.796,02/07/2020 14:16:21.822,1593710181822,0
2.792,02/07/2020 14:16:22.322,1593710182322,0
2.797,02/07/2020 14:16:22.822,1593710182822,0
2.803,02/07/2020 14:16:23.322,1593710183322,0
2.806,02/07/2020 14:16:23.822,1593710183822,0
2.800,02/07/2020 14:16:24.322,1593710184322,0
2.806,02/07/2020 14:16:24.822,1593710184822,0
2.794,02/07/2020 14:16:25.322,1593710185322,0
2.809,02/07/2020 14:16:25.822,1593710185822,0
2.794,02/07/2020 14:16:26.322,1593710186322,0
2.796,02/07/2020 14:16:26.822,1593710186822,0
2.799,02/07/2020 14:16:27.322,1593710187322,0
2.837,02/07/2020 14:16:27.822,1593710187822,0
2.828,02/07/2020 14:16:28.322,1593710188322,0
2.808,02/07/2020 14:16:28.822,1593710188822,0
2.810,02/07/2020 14:16:29.322,1593710189322,0
2.798,02/07/2020 14:16:29.822,1593710189822,0
2.807,02/07/2020 14:16:30.322,1593710190322,0
2.796,02/07/2020 14:16:30.822,1593710190822,0
2.787,02/07/2020 14:16:31.322,1593710191322,0
2.788,02/07/2020 14:16:31.822,1593710191822,0
