ValoresRms,TimeStamp,EPOCH
2.817,06/07/2020 01:27:31.363,1594009651363
2.833,06/07/2020 01:27:31.863,1594009651863
2.818,06/07/2020 01:27:32.364,1594009652364
2.810,06/07/2020 01:27:32.864,1594009652864
2.811,06/07/2020 01:27:33.364,1594009653364
2.814,06/07/2020 01:27:33.864,1594009653864
2.815,06/07/2020 01:27:34.364,1594009654364
2.807,06/07/2020 01:27:34.864,1594009654864
2.800,06/07/2020 01:27:35.364,1594009655364
2.793,06/07/2020 01:27:35.864,1594009655864
2.793,06/07/2020 01:27:36.364,1594009656364
2.798,06/07/2020 01:27:36.864,1594009656864
2.796,06/07/2020 01:27:37.364,1594009657364
2.789,06/07/2020 01:27:37.864,1594009657864
2.781,06/07/2020 01:27:38.365,1594009658365
2.762,06/07/2020 01:27:38.865,1594009658865
2.764,06/07/2020 01:27:39.365,1594009659365
2.773,06/07/2020 01:27:39.865,1594009659865
2.769,06/07/2020 01:27:40.365,1594009660365
2.754,06/07/2020 01:27:40.865,1594009660865
2.768,06/07/2020 01:27:41.365,1594009661365
2.776,06/07/2020 01:27:41.865,1594009661865
2.775,06/07/2020 01:27:42.365,1594009662365
2.782,06/07/2020 01:27:42.865,1594009662865
2.788,06/07/2020 01:27:43.365,1594009663365
2.801,06/07/2020 01:27:43.866,1594009663866
2.793,06/07/2020 01:27:44.366,1594009664366
2.814,06/07/2020 01:27:44.866,1594009664866
2.807,06/07/2020 01:27:45.366,1594009665366
2.805,06/07/2020 01:27:45.866,1594009665866
2.805,06/07/2020 01:27:46.366,1594009666366
2.800,06/07/2020 01:27:46.866,1594009666866
2.798,06/07/2020 01:27:47.366,1594009667366
2.792,06/07/2020 01:27:47.866,1594009667866
2.787,06/07/2020 01:27:48.366,1594009668366
2.786,06/07/2020 01:27:48.866,1594009668866
2.791,06/07/2020 01:27:49.366,1594009669366
0.552,06/07/2020 01:27:49.867,1594009669867
0.553,06/07/2020 01:27:50.367,1594009670367
0.559,06/07/2020 01:27:50.867,1594009670867
0.554,06/07/2020 01:27:51.367,1594009671367
0.553,06/07/2020 01:27:51.867,1594009671867
0.589,06/07/2020 01:27:52.367,1594009672367
0.580,06/07/2020 01:27:52.867,1594009672867
0.589,06/07/2020 01:27:53.367,1594009673367
0.561,06/07/2020 01:27:53.867,1594009673867
0.565,06/07/2020 01:27:54.367,1594009674367
0.562,06/07/2020 01:27:54.867,1594009674867
0.562,06/07/2020 01:27:55.368,1594009675368
0.566,06/07/2020 01:27:55.868,1594009675868
0.560,06/07/2020 01:27:56.368,1594009676368
0.561,06/07/2020 01:27:56.868,1594009676868
0.583,06/07/2020 01:27:57.368,1594009677368
0.594,06/07/2020 01:27:57.868,1594009677868
0.589,06/07/2020 01:27:58.368,1594009678368
0.592,06/07/2020 01:27:58.868,1594009678868
0.596,06/07/2020 01:27:59.368,1594009679368
0.597,06/07/2020 01:27:59.868,1594009679868
0.599,06/07/2020 01:28:00.368,1594009680368
0.597,06/07/2020 01:28:00.869,1594009680869
0.560,06/07/2020 01:28:01.369,1594009681369
0.567,06/07/2020 01:28:01.869,1594009681869
0.556,06/07/2020 01:28:02.369,1594009682369
0.555,06/07/2020 01:28:02.869,1594009682869
0.558,06/07/2020 01:28:03.369,1594009683369
0.562,06/07/2020 01:28:03.869,1594009683869

0.726,06/07/2020 12:12:51.147,1594048371147
0.700,06/07/2020 12:12:51.647,1594048371647
0.678,06/07/2020 12:12:52.147,1594048372147
0.697,06/07/2020 12:12:52.647,1594048372647
0.724,06/07/2020 12:12:53.147,1594048373147
0.702,06/07/2020 12:12:53.648,1594048373648
0.709,06/07/2020 12:12:54.148,1594048374148
0.715,06/07/2020 12:12:54.648,1594048374648
0.720,06/07/2020 12:12:55.148,1594048375148
0.714,06/07/2020 12:12:55.648,1594048375648
0.696,06/07/2020 12:12:56.148,1594048376148
0.724,06/07/2020 12:12:56.648,1594048376648
0.720,06/07/2020 12:12:57.148,1594048377148
0.693,06/07/2020 12:12:57.648,1594048377648
0.704,06/07/2020 12:12:58.148,1594048378148
0.712,06/07/2020 12:12:58.648,1594048378648
0.706,06/07/2020 12:12:59.148,1594048379148
0.695,06/07/2020 12:12:59.649,1594048379649
0.677,06/07/2020 12:13:00.149,1594048380149
0.710,06/07/2020 12:13:00.649,1594048380649
0.706,06/07/2020 12:13:01.149,1594048381149
0.721,06/07/2020 12:13:01.649,1594048381649
0.712,06/07/2020 12:13:02.149,1594048382149
0.698,06/07/2020 12:13:02.649,1594048382649
0.726,06/07/2020 12:13:03.149,1594048383149
0.709,06/07/2020 12:13:03.649,1594048383649
0.712,06/07/2020 12:13:04.149,1594048384149
0.715,06/07/2020 12:13:04.649,1594048384649
0.709,06/07/2020 12:13:05.150,1594048385150
0.712,06/07/2020 12:13:05.650,1594048385650
0.711,06/07/2020 12:13:06.150,1594048386150
0.705,06/07/2020 12:13:06.650,1594048386650
0.711,06/07/2020 12:13:07.150,1594048387150
0.712,06/07/2020 12:13:07.650,1594048387650
0.728,06/07/2020 12:13:08.150,1594048388150
0.716,06/07/2020 12:13:08.650,1594048388650
0.709,06/07/2020 12:13:09.150,1594048389150
0.751,06/07/2020 12:13:09.650,1594048389650
0.754,06/07/2020 12:13:10.150,1594048390150
0.741,06/07/2020 12:13:10.651,1594048390651
0.759,06/07/2020 12:13:11.151,1594048391151
0.754,06/07/2020 12:13:11.651,1594048391651
0.752,06/07/2020 12:13:12.151,1594048392151
0.745,06/07/2020 12:13:12.651,1594048392651
0.795,06/07/2020 12:13:13.151,1594048393151
0.707,06/07/2020 12:13:13.651,1594048393651
0.707,06/07/2020 12:13:14.151,1594048394151
1.595,06/07/2020 12:13:14.651,1594048394651
1.571,06/07/2020 12:13:15.151,1594048395151
1.567,06/07/2020 12:13:15.651,1594048395651
1.571,06/07/2020 12:13:16.151,1594048396151
1.623,06/07/2020 12:13:16.652,1594048396652
2.854,06/07/2020 12:13:17.152,1594048397152
2.848,06/07/2020 12:13:17.652,1594048397652
2.863,06/07/2020 12:13:18.152,1594048398152
2.865,06/07/2020 12:13:18.652,1594048398652
2.873,06/07/2020 12:13:19.152,1594048399152
2.887,06/07/2020 12:13:19.652,1594048399652
2.888,06/07/2020 12:13:20.152,1594048400152
2.872,06/07/2020 12:13:20.652,1594048400652
2.880,06/07/2020 12:13:21.152,1594048401152
2.884,06/07/2020 12:13:21.652,1594048401652
2.870,06/07/2020 12:13:22.153,1594048402153
2.872,06/07/2020 12:13:22.653,1594048402653
2.886,06/07/2020 12:13:23.153,1594048403153
2.884,06/07/2020 12:13:23.653,1594048403653
2.866,06/07/2020 12:13:24.153,1594048404153
2.835,06/07/2020 12:13:24.653,1594048404653
2.890,06/07/2020 12:13:25.153,1594048405153
2.890,06/07/2020 12:13:25.653,1594048405653
2.892,06/07/2020 12:13:26.153,1594048406153
2.900,06/07/2020 12:13:26.653,1594048406653
2.905,06/07/2020 12:13:27.153,1594048407153
2.897,06/07/2020 12:13:27.653,1594048407653
2.911,06/07/2020 12:13:28.154,1594048408154
2.886,06/07/2020 12:13:28.654,1594048408654
2.867,06/07/2020 12:13:29.154,1594048409154
2.856,06/07/2020 12:13:29.654,1594048409654
2.857,06/07/2020 12:13:30.154,1594048410154
2.887,06/07/2020 12:13:30.654,1594048410654
2.857,06/07/2020 12:13:31.154,1594048411154
2.854,06/07/2020 12:13:31.654,1594048411654
2.883,06/07/2020 12:13:32.154,1594048412154
2.880,06/07/2020 12:13:32.654,1594048412654
2.883,06/07/2020 12:13:33.154,1594048413154
2.864,06/07/2020 12:13:33.655,1594048413655
2.861,06/07/2020 12:13:34.155,1594048414155
2.858,06/07/2020 12:13:34.655,1594048414655
2.862,06/07/2020 12:13:35.155,1594048415155
2.866,06/07/2020 12:13:35.655,1594048415655
2.840,06/07/2020 12:13:36.155,1594048416155
2.855,06/07/2020 12:13:36.655,1594048416655
2.855,06/07/2020 12:13:37.155,1594048417155
2.867,06/07/2020 12:13:37.655,1594048417655
2.882,06/07/2020 12:13:38.155,1594048418155
2.893,06/07/2020 12:13:38.655,1594048418655
2.882,06/07/2020 12:13:39.156,1594048419156
2.907,06/07/2020 12:13:39.656,1594048419656
2.928,06/07/2020 12:13:40.156,1594048420156
2.896,06/07/2020 12:13:40.656,1594048420656
2.871,06/07/2020 12:13:41.156,1594048421156
2.836,06/07/2020 12:13:41.656,1594048421656
2.829,06/07/2020 12:13:42.156,1594048422156
2.841,06/07/2020 12:13:42.656,1594048422656
2.864,06/07/2020 12:13:43.156,1594048423156
2.860,06/07/2020 12:13:43.656,1594048423656
2.864,06/07/2020 12:13:44.156,1594048424156
2.896,06/07/2020 12:13:44.656,1594048424656
2.871,06/07/2020 12:13:45.157,1594048425157
2.873,06/07/2020 12:13:45.657,1594048425657
2.861,06/07/2020 12:13:46.157,1594048426157
2.862,06/07/2020 12:13:46.657,1594048426657
2.858,06/07/2020 12:13:47.157,1594048427157
2.861,06/07/2020 12:13:47.657,1594048427657
2.856,06/07/2020 12:13:48.157,1594048428157
2.863,06/07/2020 12:13:48.657,1594048428657
2.851,06/07/2020 12:13:49.157,1594048429157
2.853,06/07/2020 12:13:49.657,1594048429657
2.874,06/07/2020 12:13:50.157,1594048430157
2.876,06/07/2020 12:13:50.658,1594048430658
2.874,06/07/2020 12:13:51.158,1594048431158
2.912,06/07/2020 12:13:51.658,1594048431658
2.905,06/07/2020 12:13:52.158,1594048432158
2.905,06/07/2020 12:13:52.658,1594048432658
2.903,06/07/2020 12:13:53.158,1594048433158
2.876,06/07/2020 12:13:53.658,1594048433658
2.866,06/07/2020 12:13:54.158,1594048434158
2.844,06/07/2020 12:13:54.658,1594048434658
2.841,06/07/2020 12:13:55.158,1594048435158
2.831,06/07/2020 12:13:55.658,1594048435658
2.842,06/07/2020 12:13:56.158,1594048436158
2.855,06/07/2020 12:13:56.659,1594048436659
2.858,06/07/2020 12:13:57.159,1594048437159
2.888,06/07/2020 12:13:57.659,1594048437659
2.881,06/07/2020 12:13:58.159,1594048438159
2.870,06/07/2020 12:13:58.659,1594048438659
2.876,06/07/2020 12:13:59.159,1594048439159
2.871,06/07/2020 12:13:59.659,1594048439659
2.868,06/07/2020 12:14:00.159,1594048440159
2.883,06/07/2020 12:14:00.659,1594048440659
2.872,06/07/2020 12:14:01.159,1594048441159
2.866,06/07/2020 12:14:01.659,1594048441659
2.850,06/07/2020 12:14:02.160,1594048442160
2.877,06/07/2020 12:14:02.660,1594048442660
2.852,06/07/2020 12:14:03.160,1594048443160
2.876,06/07/2020 12:14:03.660,1594048443660
2.890,06/07/2020 12:14:04.160,1594048444160
2.880,06/07/2020 12:14:04.660,1594048444660
2.885,06/07/2020 12:14:05.160,1594048445160
2.895,06/07/2020 12:14:05.660,1594048445660
2.890,06/07/2020 12:14:06.160,1594048446160
