RMS,TimeStamp,EPOCH
0.848,10/08/2020 20:36:22.722,1597102582722
0.849,10/08/2020 20:36:23.222,1597102583222
0.849,10/08/2020 20:36:23.723,1597102583723
0.850,10/08/2020 20:36:24.224,1597102584224
0.852,10/08/2020 20:36:24.724,1597102584724
0.854,10/08/2020 20:36:25.225,1597102585225
0.852,10/08/2020 20:36:25.725,1597102585725
0.852,10/08/2020 20:36:26.226,1597102586226
0.849,10/08/2020 20:36:26.726,1597102586726
0.846,10/08/2020 20:36:27.227,1597102587227
0.846,10/08/2020 20:36:27.727,1597102587727
0.841,10/08/2020 20:36:28.228,1597102588228
0.844,10/08/2020 20:36:28.729,1597102588729
0.855,10/08/2020 20:36:29.229,1597102589229
0.861,10/08/2020 20:36:29.730,1597102589730
0.867,10/08/2020 20:36:30.230,1597102590230
0.858,10/08/2020 20:36:30.731,1597102590731
0.850,10/08/2020 20:36:31.231,1597102591231
0.856,10/08/2020 20:36:31.732,1597102591732
0.859,10/08/2020 20:36:32.233,1597102592233
0.854,10/08/2020 20:36:32.733,1597102592733
0.864,10/08/2020 20:36:33.234,1597102593234
0.846,10/08/2020 20:36:33.734,1597102593734
0.843,10/08/2020 20:36:34.235,1597102594235
0.848,10/08/2020 20:36:34.735,1597102594735
0.844,10/08/2020 20:36:35.236,1597102595236
0.844,10/08/2020 20:36:35.737,1597102595737
0.852,10/08/2020 20:36:36.237,1597102596237
0.853,10/08/2020 20:36:36.738,1597102596738
0.856,10/08/2020 20:36:37.238,1597102597238
0.850,10/08/2020 20:36:37.739,1597102597739
0.848,10/08/2020 20:36:38.239,1597102598239
0.850,10/08/2020 20:36:38.740,1597102598740
0.845,10/08/2020 20:36:39.240,1597102599240
0.844,10/08/2020 20:36:39.741,1597102599741
0.843,10/08/2020 20:36:40.242,1597102600242
0.838,10/08/2020 20:36:40.742,1597102600742
0.840,10/08/2020 20:36:41.243,1597102601243
0.840,10/08/2020 20:36:41.743,1597102601743
0.839,10/08/2020 20:36:42.244,1597102602244
0.858,10/08/2020 20:36:42.744,1597102602744
0.846,10/08/2020 20:36:43.245,1597102603245
0.836,10/08/2020 20:36:43.746,1597102603746
0.830,10/08/2020 20:36:44.246,1597102604246
0.843,10/08/2020 20:36:44.747,1597102604747
0.862,10/08/2020 20:36:45.247,1597102605247
0.859,10/08/2020 20:36:45.748,1597102605748
0.860,10/08/2020 20:36:46.248,1597102606248
0.845,10/08/2020 20:36:46.749,1597102606749
0.878,10/08/2020 20:36:47.250,1597102607250
0.856,10/08/2020 20:36:47.750,1597102607750
0.863,10/08/2020 20:36:48.251,1597102608251
0.861,10/08/2020 20:36:48.751,1597102608751
0.859,10/08/2020 20:36:49.252,1597102609252
0.852,10/08/2020 20:36:49.752,1597102609752
0.855,10/08/2020 20:36:50.253,1597102610253
0.867,10/08/2020 20:36:50.753,1597102610753
0.862,10/08/2020 20:36:51.254,1597102611254
0.871,10/08/2020 20:36:51.755,1597102611755
0.863,10/08/2020 20:36:52.255,1597102612255
0.867,10/08/2020 20:36:52.756,1597102612756
0.868,10/08/2020 20:36:53.256,1597102613256
0.867,10/08/2020 20:36:53.757,1597102613757
0.858,10/08/2020 20:36:54.257,1597102614257
0.859,10/08/2020 20:36:54.758,1597102614758
0.866,10/08/2020 20:36:55.259,1597102615259
0.869,10/08/2020 20:36:55.759,1597102615759
0.858,10/08/2020 20:36:56.260,1597102616260
0.853,10/08/2020 20:36:56.760,1597102616760
0.848,10/08/2020 20:36:57.261,1597102617261
0.852,10/08/2020 20:36:57.761,1597102617761
0.861,10/08/2020 20:36:58.262,1597102618262
0.847,10/08/2020 20:36:58.763,1597102618763
0.844,10/08/2020 20:36:59.263,1597102619263
0.856,10/08/2020 20:36:59.764,1597102619764
0.846,10/08/2020 20:37:00.264,1597102620264
0.850,10/08/2020 20:37:00.765,1597102620765
0.841,10/08/2020 20:37:01.265,1597102621265
0.843,10/08/2020 20:37:01.766,1597102621766
0.843,10/08/2020 20:37:02.266,1597102622266
0.851,10/08/2020 20:37:02.767,1597102622767
0.845,10/08/2020 20:37:03.268,1597102623268
0.848,10/08/2020 20:37:03.768,1597102623768
0.841,10/08/2020 20:37:04.269,1597102624269
0.834,10/08/2020 20:37:04.769,1597102624769
0.832,10/08/2020 20:37:05.270,1597102625270
0.827,10/08/2020 20:37:05.770,1597102625770
0.829,10/08/2020 20:37:06.271,1597102626271
0.829,10/08/2020 20:37:06.772,1597102626772
0.830,10/08/2020 20:37:07.272,1597102627272
0.830,10/08/2020 20:37:07.773,1597102627773
0.845,10/08/2020 20:37:08.273,1597102628273
0.842,10/08/2020 20:37:08.774,1597102628774
0.833,10/08/2020 20:37:09.274,1597102629274
0.851,10/08/2020 20:37:09.775,1597102629775
0.856,10/08/2020 20:37:10.276,1597102630276
0.860,10/08/2020 20:37:10.776,1597102630776
0.845,10/08/2020 20:37:11.277,1597102631277
0.846,10/08/2020 20:37:11.777,1597102631777
0.842,10/08/2020 20:37:12.278,1597102632278
0.857,10/08/2020 20:37:12.778,1597102632778
0.832,10/08/2020 20:37:13.279,1597102633279
0.834,10/08/2020 20:37:13.780,1597102633780
0.846,10/08/2020 20:37:14.280,1597102634280
0.843,10/08/2020 20:37:14.781,1597102634781
0.842,10/08/2020 20:37:15.281,1597102635281
0.852,10/08/2020 20:37:15.782,1597102635782
0.855,10/08/2020 20:37:16.282,1597102636282
0.845,10/08/2020 20:37:16.783,1597102636783
0.860,10/08/2020 20:37:17.283,1597102637283
0.865,10/08/2020 20:37:17.784,1597102637784
0.860,10/08/2020 20:37:18.285,1597102638285
0.856,10/08/2020 20:37:18.785,1597102638785
0.864,10/08/2020 20:37:19.286,1597102639286
0.866,10/08/2020 20:37:19.786,1597102639786
0.871,10/08/2020 20:37:20.287,1597102640287
0.868,10/08/2020 20:37:20.787,1597102640787
0.858,10/08/2020 20:37:21.288,1597102641288
0.861,10/08/2020 20:37:21.789,1597102641789
0.859,10/08/2020 20:37:22.289,1597102642289
0.860,10/08/2020 20:37:22.790,1597102642790
0.861,10/08/2020 20:37:23.290,1597102643290
0.864,10/08/2020 20:37:23.791,1597102643791
0.858,10/08/2020 20:37:24.291,1597102644291
0.860,10/08/2020 20:37:24.792,1597102644792
0.872,10/08/2020 20:37:25.293,1597102645293
0.868,10/08/2020 20:37:25.793,1597102645793
0.921,10/08/2020 20:37:26.294,1597102646294
0.975,10/08/2020 20:37:26.794,1597102646794
1.002,10/08/2020 20:37:27.295,1597102647295
1.089,10/08/2020 20:37:27.795,1597102647795
1.015,10/08/2020 20:37:28.296,1597102648296
1.096,10/08/2020 20:37:28.796,1597102648796
1.046,10/08/2020 20:37:29.297,1597102649297
1.055,10/08/2020 20:37:29.798,1597102649798
1.048,10/08/2020 20:37:30.298,1597102650298
1.014,10/08/2020 20:37:30.799,1597102650799
1.011,10/08/2020 20:37:31.299,1597102651299
1.032,10/08/2020 20:37:31.800,1597102651800
1.064,10/08/2020 20:37:32.300,1597102652300
1.025,10/08/2020 20:37:32.801,1597102652801
1.025,10/08/2020 20:37:33.302,1597102653302
1.026,10/08/2020 20:37:33.802,1597102653802
1.030,10/08/2020 20:37:34.303,1597102654303
1.030,10/08/2020 20:37:34.803,1597102654803
1.017,10/08/2020 20:37:35.304,1597102655304
1.003,10/08/2020 20:37:35.804,1597102655804
1.005,10/08/2020 20:37:36.305,1597102656305
1.041,10/08/2020 20:37:36.806,1597102656806
1.048,10/08/2020 20:37:37.306,1597102657306
1.031,10/08/2020 20:37:37.807,1597102657807
1.017,10/08/2020 20:37:38.307,1597102658307
1.003,10/08/2020 20:37:38.808,1597102658808
1.103,10/08/2020 20:37:39.308,1597102659308
1.049,10/08/2020 20:37:39.809,1597102659809
1.017,10/08/2020 20:37:40.309,1597102660309
1.001,10/08/2020 20:37:40.810,1597102660810
1.027,10/08/2020 20:37:41.311,1597102661311
0.998,10/08/2020 20:37:41.811,1597102661811
1.058,10/08/2020 20:37:42.312,1597102662312
1.041,10/08/2020 20:37:42.812,1597102662812
1.016,10/08/2020 20:37:43.313,1597102663313
1.019,10/08/2020 20:37:43.813,1597102663813
1.013,10/08/2020 20:37:44.314,1597102664314
1.068,10/08/2020 20:37:44.815,1597102664815
1.000,10/08/2020 20:37:45.315,1597102665315
0.998,10/08/2020 20:37:45.816,1597102665816
1.008,10/08/2020 20:37:46.316,1597102666316
0.989,10/08/2020 20:37:46.817,1597102666817
1.002,10/08/2020 20:37:47.317,1597102667317
0.998,10/08/2020 20:37:47.818,1597102667818
0.995,10/08/2020 20:37:48.319,1597102668319
0.995,10/08/2020 20:37:48.819,1597102668819
0.991,10/08/2020 20:37:49.320,1597102669320
0.995,10/08/2020 20:37:49.820,1597102669820
1.025,10/08/2020 20:37:50.321,1597102670321
1.064,10/08/2020 20:37:50.821,1597102670821
1.000,10/08/2020 20:37:51.322,1597102671322
1.010,10/08/2020 20:37:51.822,1597102671822
