RMS,TimeStamp,EPOCH
0.427,10/08/2020 16:53:32.613,1597089212613
0.418,10/08/2020 16:53:33.114,1597089213114
0.432,10/08/2020 16:53:33.614,1597089213614
0.407,10/08/2020 16:53:34.115,1597089214115
0.400,10/08/2020 16:53:34.615,1597089214615
0.407,10/08/2020 16:53:35.116,1597089215116
0.385,10/08/2020 16:53:35.617,1597089215617
0.377,10/08/2020 16:53:36.117,1597089216117
0.371,10/08/2020 16:53:36.618,1597089216618
0.390,10/08/2020 16:53:37.118,1597089217118
0.403,10/08/2020 16:53:37.619,1597089217619
0.376,10/08/2020 16:53:38.119,1597089218119
0.374,10/08/2020 16:53:38.620,1597089218620
0.409,10/08/2020 16:53:39.120,1597089219120
0.377,10/08/2020 16:53:39.621,1597089219621
0.374,10/08/2020 16:53:40.122,1597089220122
0.468,10/08/2020 16:53:40.622,1597089220622
0.372,10/08/2020 16:53:41.123,1597089221123
0.376,10/08/2020 16:53:41.623,1597089221623
0.380,10/08/2020 16:53:42.124,1597089222124
0.374,10/08/2020 16:53:42.624,1597089222624
0.377,10/08/2020 16:53:43.125,1597089223125
0.386,10/08/2020 16:53:43.626,1597089223626
0.452,10/08/2020 16:53:44.126,1597089224126
0.455,10/08/2020 16:53:44.627,1597089224627
0.394,10/08/2020 16:53:45.127,1597089225127
0.392,10/08/2020 16:53:45.628,1597089225628
0.388,10/08/2020 16:53:46.128,1597089226128
0.368,10/08/2020 16:53:46.629,1597089226629
0.373,10/08/2020 16:53:47.130,1597089227130
0.372,10/08/2020 16:53:47.630,1597089227630
0.373,10/08/2020 16:53:48.131,1597089228131
0.368,10/08/2020 16:53:48.631,1597089228631
0.368,10/08/2020 16:53:49.132,1597089229132
0.373,10/08/2020 16:53:49.632,1597089229632
0.373,10/08/2020 16:53:50.133,1597089230133
0.373,10/08/2020 16:53:50.634,1597089230634
0.373,10/08/2020 16:53:51.134,1597089231134
0.378,10/08/2020 16:53:51.635,1597089231635
0.369,10/08/2020 16:53:52.135,1597089232135
0.370,10/08/2020 16:53:52.636,1597089232636
0.370,10/08/2020 16:53:53.136,1597089233136
0.371,10/08/2020 16:53:53.637,1597089233637
0.368,10/08/2020 16:53:54.137,1597089234137
0.397,10/08/2020 16:53:54.638,1597089234638
0.382,10/08/2020 16:53:55.139,1597089235139
0.369,10/08/2020 16:53:55.639,1597089235639
0.455,10/08/2020 16:53:56.140,1597089236140
0.381,10/08/2020 16:53:56.640,1597089236640
0.383,10/08/2020 16:53:57.141,1597089237141
0.383,10/08/2020 16:53:57.641,1597089237641
0.378,10/08/2020 16:53:58.142,1597089238142
0.380,10/08/2020 16:53:58.643,1597089238643
0.380,10/08/2020 16:53:59.143,1597089239143
0.379,10/08/2020 16:53:59.644,1597089239644
0.368,10/08/2020 16:54:00.144,1597089240144
0.385,10/08/2020 16:54:00.645,1597089240645
0.370,10/08/2020 16:54:01.145,1597089241145
0.372,10/08/2020 16:54:01.646,1597089241646
0.385,10/08/2020 16:54:02.147,1597089242147
0.369,10/08/2020 16:54:02.647,1597089242647
0.381,10/08/2020 16:54:03.148,1597089243148
0.387,10/08/2020 16:54:03.648,1597089243648
0.371,10/08/2020 16:54:04.149,1597089244149
0.398,10/08/2020 16:54:04.649,1597089244649
0.371,10/08/2020 16:54:05.150,1597089245150
0.373,10/08/2020 16:54:05.650,1597089245650
0.452,10/08/2020 16:54:06.151,1597089246151
0.379,10/08/2020 16:54:06.652,1597089246652
0.379,10/08/2020 16:54:07.152,1597089247152
0.381,10/08/2020 16:54:07.653,1597089247653
0.371,10/08/2020 16:54:08.153,1597089248153
0.371,10/08/2020 16:54:08.654,1597089248654
0.372,10/08/2020 16:54:09.154,1597089249154
0.372,10/08/2020 16:54:09.655,1597089249655
0.377,10/08/2020 16:54:10.156,1597089250156
0.373,10/08/2020 16:54:10.656,1597089250656
0.370,10/08/2020 16:54:11.157,1597089251157
0.374,10/08/2020 16:54:11.657,1597089251657
0.379,10/08/2020 16:54:12.158,1597089252158
0.371,10/08/2020 16:54:12.658,1597089252658
0.368,10/08/2020 16:54:13.159,1597089253159
0.371,10/08/2020 16:54:13.660,1597089253660
0.368,10/08/2020 16:54:14.160,1597089254160
0.375,10/08/2020 16:54:14.661,1597089254661
0.419,10/08/2020 16:54:15.161,1597089255161
0.390,10/08/2020 16:54:15.662,1597089255662
0.387,10/08/2020 16:54:16.162,1597089256162
0.370,10/08/2020 16:54:16.663,1597089256663
0.370,10/08/2020 16:54:17.163,1597089257163
0.374,10/08/2020 16:54:17.664,1597089257664
0.370,10/08/2020 16:54:18.165,1597089258165
0.367,10/08/2020 16:54:18.665,1597089258665
0.382,10/08/2020 16:54:19.166,1597089259166
0.369,10/08/2020 16:54:19.666,1597089259666
0.371,10/08/2020 16:54:20.167,1597089260167
0.371,10/08/2020 16:54:20.667,1597089260667
0.368,10/08/2020 16:54:21.168,1597089261168
0.374,10/08/2020 16:54:21.669,1597089261669
0.372,10/08/2020 16:54:22.169,1597089262169
0.457,10/08/2020 16:54:22.670,1597089262670
0.402,10/08/2020 16:54:23.170,1597089263170
0.372,10/08/2020 16:54:23.671,1597089263671
0.371,10/08/2020 16:54:24.171,1597089264171
0.386,10/08/2020 16:54:24.672,1597089264672
0.375,10/08/2020 16:54:25.173,1597089265173
0.370,10/08/2020 16:54:25.673,1597089265673
0.391,10/08/2020 16:54:26.174,1597089266174
0.378,10/08/2020 16:54:26.674,1597089266674
0.371,10/08/2020 16:54:27.175,1597089267175
0.478,10/08/2020 16:54:27.675,1597089267675
0.388,10/08/2020 16:54:28.176,1597089268176
0.389,10/08/2020 16:54:28.676,1597089268676
3.562,10/08/2020 16:54:29.177,1597089269177
0.556,10/08/2020 16:54:29.678,1597089269678
0.576,10/08/2020 16:54:30.178,1597089270178
0.576,10/08/2020 16:54:30.679,1597089270679
0.588,10/08/2020 16:54:31.179,1597089271179
0.601,10/08/2020 16:54:31.680,1597089271680
0.627,10/08/2020 16:54:32.180,1597089272180
0.612,10/08/2020 16:54:32.681,1597089272681
0.688,10/08/2020 16:54:33.182,1597089273182
0.621,10/08/2020 16:54:33.682,1597089273682
0.672,10/08/2020 16:54:34.183,1597089274183
0.609,10/08/2020 16:54:34.683,1597089274683
0.659,10/08/2020 16:54:35.184,1597089275184
0.665,10/08/2020 16:54:35.684,1597089275684
0.643,10/08/2020 16:54:36.185,1597089276185
0.668,10/08/2020 16:54:36.686,1597089276686
0.604,10/08/2020 16:54:37.186,1597089277186
0.615,10/08/2020 16:54:37.687,1597089277687
0.607,10/08/2020 16:54:38.187,1597089278187
0.603,10/08/2020 16:54:38.688,1597089278688
0.602,10/08/2020 16:54:39.188,1597089279188
0.598,10/08/2020 16:54:39.689,1597089279689
0.606,10/08/2020 16:54:40.190,1597089280190
0.596,10/08/2020 16:54:40.690,1597089280690
0.595,10/08/2020 16:54:41.191,1597089281191
0.610,10/08/2020 16:54:41.691,1597089281691
0.594,10/08/2020 16:54:42.192,1597089282192
0.597,10/08/2020 16:54:42.692,1597089282692
0.596,10/08/2020 16:54:43.193,1597089283193
0.598,10/08/2020 16:54:43.693,1597089283693
0.597,10/08/2020 16:54:44.194,1597089284194
0.601,10/08/2020 16:54:44.695,1597089284695
0.592,10/08/2020 16:54:45.195,1597089285195
0.590,10/08/2020 16:54:45.696,1597089285696
0.585,10/08/2020 16:54:46.196,1597089286196
0.592,10/08/2020 16:54:46.697,1597089286697
0.586,10/08/2020 16:54:47.197,1597089287197
0.590,10/08/2020 16:54:47.698,1597089287698
0.590,10/08/2020 16:54:48.199,1597089288199
0.588,10/08/2020 16:54:48.699,1597089288699
0.584,10/08/2020 16:54:49.200,1597089289200
0.582,10/08/2020 16:54:49.700,1597089289700
0.590,10/08/2020 16:54:50.201,1597089290201
0.589,10/08/2020 16:54:50.701,1597089290701
0.582,10/08/2020 16:54:51.202,1597089291202
0.588,10/08/2020 16:54:51.703,1597089291703
0.583,10/08/2020 16:54:52.203,1597089292203
0.585,10/08/2020 16:54:52.704,1597089292704
0.580,10/08/2020 16:54:53.204,1597089293204
0.583,10/08/2020 16:54:53.705,1597089293705
0.582,10/08/2020 16:54:54.205,1597089294205
0.581,10/08/2020 16:54:54.706,1597089294706
0.580,10/08/2020 16:54:55.206,1597089295206
0.580,10/08/2020 16:54:55.707,1597089295707
0.581,10/08/2020 16:54:56.208,1597089296208
0.578,10/08/2020 16:54:56.708,1597089296708
0.576,10/08/2020 16:54:57.209,1597089297209
0.579,10/08/2020 16:54:57.709,1597089297709
0.586,10/08/2020 16:54:58.210,1597089298210
0.570,10/08/2020 16:54:58.710,1597089298710
0.583,10/08/2020 16:54:59.211,1597089299211
0.578,10/08/2020 16:54:59.712,1597089299712
0.577,10/08/2020 16:55:00.212,1597089300212
0.577,10/08/2020 16:55:00.713,1597089300713
0.569,10/08/2020 16:55:01.213,1597089301213
0.567,10/08/2020 16:55:01.714,1597089301714
0.646,10/08/2020 16:55:02.214,1597089302214
0.570,10/08/2020 16:55:02.715,1597089302715
0.585,10/08/2020 16:55:03.216,1597089303216
0.572,10/08/2020 16:55:03.716,1597089303716
0.568,10/08/2020 16:55:04.217,1597089304217
0.567,10/08/2020 16:55:04.717,1597089304717
0.567,10/08/2020 16:55:05.218,1597089305218
0.562,10/08/2020 16:55:05.718,1597089305718
0.597,10/08/2020 16:55:06.219,1597089306219
0.570,10/08/2020 16:55:06.719,1597089306719
0.576,10/08/2020 16:55:07.220,1597089307220
0.606,10/08/2020 16:55:07.721,1597089307721
0.608,10/08/2020 16:55:08.221,1597089308221
0.583,10/08/2020 16:55:08.722,1597089308722
0.557,10/08/2020 16:55:09.222,1597089309222
0.625,10/08/2020 16:55:09.723,1597089309723
0.561,10/08/2020 16:55:10.223,1597089310223
0.615,10/08/2020 16:55:10.724,1597089310724
0.615,10/08/2020 16:55:11.225,1597089311225
0.569,10/08/2020 16:55:11.725,1597089311725
0.555,10/08/2020 16:55:12.226,1597089312226
0.560,10/08/2020 16:55:12.726,1597089312726
0.556,10/08/2020 16:55:13.227,1597089313227
0.604,10/08/2020 16:55:13.727,1597089313727
0.557,10/08/2020 16:55:14.228,1597089314228
0.605,10/08/2020 16:55:14.729,1597089314729
0.553,10/08/2020 16:55:15.229,1597089315229
0.552,10/08/2020 16:55:15.730,1597089315730
0.585,10/08/2020 16:55:16.230,1597089316230
0.563,10/08/2020 16:55:16.731,1597089316731
0.554,10/08/2020 16:55:17.231,1597089317231
0.552,10/08/2020 16:55:17.732,1597089317732
0.552,10/08/2020 16:55:18.232,1597089318232
0.589,10/08/2020 16:55:18.733,1597089318733
0.589,10/08/2020 16:55:19.234,1597089319234
0.586,10/08/2020 16:55:19.734,1597089319734
0.601,10/08/2020 16:55:20.235,1597089320235
0.584,10/08/2020 16:55:20.735,1597089320735
0.600,10/08/2020 16:55:21.236,1597089321236
0.628,10/08/2020 16:55:21.736,1597089321736
0.587,10/08/2020 16:55:22.237,1597089322237
0.584,10/08/2020 16:55:22.738,1597089322738
0.581,10/08/2020 16:55:23.238,1597089323238
0.581,10/08/2020 16:55:23.739,1597089323739
0.597,10/08/2020 16:55:24.239,1597089324239
0.589,10/08/2020 16:55:24.740,1597089324740
0.582,10/08/2020 16:55:25.240,1597089325240
0.582,10/08/2020 16:55:25.741,1597089325741
0.582,10/08/2020 16:55:26.242,1597089326242
0.589,10/08/2020 16:55:26.742,1597089326742
0.579,10/08/2020 16:55:27.243,1597089327243
0.587,10/08/2020 16:55:27.743,1597089327743
