RMS,TimeStamp,EPOCH
0.510,10/08/2020 13:39:22.538,1597077562538
0.516,10/08/2020 13:39:23.038,1597077563038
0.998,10/08/2020 13:39:23.538,1597077563538
1.032,10/08/2020 13:39:24.038,1597077564038
1.744,10/08/2020 13:39:24.539,1597077564539
0.525,10/08/2020 13:39:25.039,1597077565039
0.511,10/08/2020 13:39:25.539,1597077565539
1.021,10/08/2020 13:39:26.039,1597077566039
1.001,10/08/2020 13:39:26.540,1597077566540
1.694,10/08/2020 13:39:27.040,1597077567040
0.513,10/08/2020 13:39:27.540,1597077567540
0.509,10/08/2020 13:39:28.040,1597077568040
0.529,10/08/2020 13:39:28.540,1597077568540
1.015,10/08/2020 13:39:29.041,1597077569041
1.431,10/08/2020 13:39:29.541,1597077569541
0.509,10/08/2020 13:39:30.041,1597077570041
0.509,10/08/2020 13:39:30.541,1597077570541
0.516,10/08/2020 13:39:31.042,1597077571042
1.044,10/08/2020 13:39:31.542,1597077571542
1.096,10/08/2020 13:39:32.042,1597077572042
1.833,10/08/2020 13:39:32.542,1597077572542
0.509,10/08/2020 13:39:33.043,1597077573043
0.528,10/08/2020 13:39:33.543,1597077573543
1.048,10/08/2020 13:39:34.043,1597077574043
0.983,10/08/2020 13:39:34.543,1597077574543
1.766,10/08/2020 13:39:35.043,1597077575043
0.509,10/08/2020 13:39:35.544,1597077575544
0.511,10/08/2020 13:39:36.044,1597077576044
0.975,10/08/2020 13:39:36.544,1597077576544
0.960,10/08/2020 13:39:37.044,1597077577044
1.698,10/08/2020 13:39:37.545,1597077577545
0.534,10/08/2020 13:39:38.045,1597077578045
0.528,10/08/2020 13:39:38.545,1597077578545
0.542,10/08/2020 13:39:39.045,1597077579045
1.028,10/08/2020 13:39:39.546,1597077579546
1.352,10/08/2020 13:39:40.046,1597077580046
0.528,10/08/2020 13:39:40.546,1597077580546
0.470,10/08/2020 13:39:41.046,1597077581046
0.463,10/08/2020 13:39:41.546,1597077581546
0.969,10/08/2020 13:39:42.047,1597077582047
0.983,10/08/2020 13:39:42.547,1597077582547
1.695,10/08/2020 13:39:43.047,1597077583047
0.455,10/08/2020 13:39:43.547,1597077583547
0.461,10/08/2020 13:39:44.048,1597077584048
0.975,10/08/2020 13:39:44.548,1597077584548
0.985,10/08/2020 13:39:45.048,1597077585048
1.639,10/08/2020 13:39:45.548,1597077585548
0.488,10/08/2020 13:39:46.049,1597077586049
0.484,10/08/2020 13:39:46.549,1597077586549
0.528,10/08/2020 13:39:47.049,1597077587049
0.970,10/08/2020 13:39:47.549,1597077587549
1.472,10/08/2020 13:39:48.049,1597077588049
0.478,10/08/2020 13:39:48.550,1597077588550
0.481,10/08/2020 13:39:49.050,1597077589050
0.504,10/08/2020 13:39:49.550,1597077589550
1.000,10/08/2020 13:39:50.050,1597077590050
1.129,10/08/2020 13:39:50.551,1597077590551
1.275,10/08/2020 13:39:51.051,1597077591051
0.478,10/08/2020 13:39:51.551,1597077591551
0.483,10/08/2020 13:39:52.051,1597077592051
0.971,10/08/2020 13:39:52.551,1597077592551
0.902,10/08/2020 13:39:53.052,1597077593052
1.719,10/08/2020 13:39:53.552,1597077593552
0.449,10/08/2020 13:39:54.052,1597077594052
0.466,10/08/2020 13:39:54.552,1597077594552
1.606,10/08/2020 13:39:55.053,1597077595053
1.514,10/08/2020 13:39:55.553,1597077595553
2.083,10/08/2020 13:39:56.053,1597077596053
1.171,10/08/2020 13:39:56.553,1597077596553
1.236,10/08/2020 13:39:57.054,1597077597054
2.616,10/08/2020 13:39:57.554,1597077597554
3.068,10/08/2020 13:39:58.054,1597077598054
3.547,10/08/2020 13:39:58.554,1597077598554
2.634,10/08/2020 13:39:59.054,1597077599054
2.625,10/08/2020 13:39:59.555,1597077599555
2.621,10/08/2020 13:40:00.055,1597077600055
3.071,10/08/2020 13:40:00.555,1597077600555
3.275,10/08/2020 13:40:01.055,1597077601055
3.759,10/08/2020 13:40:01.556,1597077601556
2.606,10/08/2020 13:40:02.056,1597077602056
2.587,10/08/2020 13:40:02.556,1597077602556
3.080,10/08/2020 13:40:03.056,1597077603056
3.086,10/08/2020 13:40:03.557,1597077603557
3.725,10/08/2020 13:40:04.057,1597077604057
2.601,10/08/2020 13:40:04.557,1597077604557
2.581,10/08/2020 13:40:05.057,1597077605057
2.862,10/08/2020 13:40:05.557,1597077605557
3.069,10/08/2020 13:40:06.058,1597077606058
3.616,10/08/2020 13:40:06.558,1597077606558
2.594,10/08/2020 13:40:07.058,1597077607058
2.609,10/08/2020 13:40:07.558,1597077607558
2.608,10/08/2020 13:40:08.059,1597077608059
3.084,10/08/2020 13:40:08.559,1597077608559
3.399,10/08/2020 13:40:09.059,1597077609059
2.598,10/08/2020 13:40:09.559,1597077609559
2.606,10/08/2020 13:40:10.060,1597077610060
2.616,10/08/2020 13:40:10.560,1597077610560
3.103,10/08/2020 13:40:11.060,1597077611060
3.133,10/08/2020 13:40:11.560,1597077611560
3.793,10/08/2020 13:40:12.060,1597077612060
2.598,10/08/2020 13:40:12.561,1597077612561
2.609,10/08/2020 13:40:13.061,1597077613061
3.135,10/08/2020 13:40:13.561,1597077613561
3.025,10/08/2020 13:40:14.061,1597077614061
3.720,10/08/2020 13:40:14.562,1597077614562
2.589,10/08/2020 13:40:15.062,1597077615062
2.597,10/08/2020 13:40:15.562,1597077615562
2.603,10/08/2020 13:40:16.062,1597077616062
3.034,10/08/2020 13:40:16.562,1597077616562
2.605,10/08/2020 13:40:17.063,1597077617063
2.588,10/08/2020 13:40:17.563,1597077617563
2.585,10/08/2020 13:40:18.063,1597077618063
2.594,10/08/2020 13:40:18.563,1597077618563
2.598,10/08/2020 13:40:19.064,1597077619064
2.583,10/08/2020 13:40:19.564,1597077619564
2.651,10/08/2020 13:40:20.064,1597077620064
2.682,10/08/2020 13:40:20.564,1597077620564
2.663,10/08/2020 13:40:21.065,1597077621065
2.661,10/08/2020 13:40:21.565,1597077621565
2.666,10/08/2020 13:40:22.065,1597077622065
2.672,10/08/2020 13:40:22.565,1597077622565
2.668,10/08/2020 13:40:23.065,1597077623065
2.671,10/08/2020 13:40:23.566,1597077623566
2.662,10/08/2020 13:40:24.066,1597077624066
2.655,10/08/2020 13:40:24.566,1597077624566
2.657,10/08/2020 13:40:25.066,1597077625066
2.654,10/08/2020 13:40:25.567,1597077625567
2.659,10/08/2020 13:40:26.067,1597077626067
2.647,10/08/2020 13:40:26.567,1597077626567
2.627,10/08/2020 13:40:27.067,1597077627067
2.642,10/08/2020 13:40:27.568,1597077627568
2.646,10/08/2020 13:40:28.068,1597077628068
2.656,10/08/2020 13:40:28.568,1597077628568
2.650,10/08/2020 13:40:29.068,1597077629068
2.652,10/08/2020 13:40:29.568,1597077629568
2.679,10/08/2020 13:40:30.069,1597077630069
2.656,10/08/2020 13:40:30.569,1597077630569
2.668,10/08/2020 13:40:31.069,1597077631069
2.671,10/08/2020 13:40:31.569,1597077631569
2.671,10/08/2020 13:40:32.070,1597077632070
2.610,10/08/2020 13:40:32.570,1597077632570
2.622,10/08/2020 13:40:33.070,1597077633070
2.633,10/08/2020 13:40:33.570,1597077633570
2.618,10/08/2020 13:40:34.071,1597077634071
2.647,10/08/2020 13:40:34.571,1597077634571
2.656,10/08/2020 13:40:35.071,1597077635071
2.647,10/08/2020 13:40:35.571,1597077635571
2.644,10/08/2020 13:40:36.071,1597077636071
2.637,10/08/2020 13:40:36.572,1597077636572
2.635,10/08/2020 13:40:37.072,1597077637072
2.620,10/08/2020 13:40:37.572,1597077637572
2.633,10/08/2020 13:40:38.072,1597077638072
2.649,10/08/2020 13:40:38.573,1597077638573
2.659,10/08/2020 13:40:39.073,1597077639073
2.652,10/08/2020 13:40:39.573,1597077639573
2.639,10/08/2020 13:40:40.073,1597077640073
2.610,10/08/2020 13:40:40.573,1597077640573
2.659,10/08/2020 13:40:41.074,1597077641074
2.670,10/08/2020 13:40:41.574,1597077641574
