1a amostra,2a amostra,3a amostra,4a amostra,5a amostra,ClasseAparelho
2.933,2.792,2.787,2.786,2.791,0
2.792,2.787,2.786,2.791,0.552,2
2.787,2.786,2.791,0.552,0.553,2
2.786,2.791,0.552,0.553,0.559,2
2.791,0.552,0.553,0.559,0.554,2
0.552,0.553,0.559,0.554,0.553,2
0.553,0.559,0.554,0.553,1.571,0
0.559,0.554,0.553,1.571,1.567,0
0.554,0.553,1.571,1.567,1.571,0
0.553,1.571,1.567,1.571,1.623,0
1.571,1.567,1.571,1.623,2.854,1
1.567,1.571,1.623,2.854,2.848,1
1.571,1.623,2.854,2.848,2.863,1
1.623,2.854,2.848,2.863,2.865,1
2.854,2.848,2.863,2.865,2.873,1
2.848,2.863,2.865,2.873,2.842,0
2.863,2.865,2.873,2.842,2.843,0
2.865,2.873,2.842,2.843,2.852,0
2.873,2.842,2.843,2.852,2.877,0
2.842,2.843,2.852,2.877,0.691,2
2.843,2.852,2.877,0.691,0.702,2
2.852,2.877,0.691,0.702,0.700,2
2.877,0.691,0.702,0.700,0.708,2
0.691,0.702,0.700,0.708,0.700,2
0.702,0.700,0.708,0.700,1.571,0
0.700,0.708,0.700,1.571,1.558,0
0.708,0.700,1.571,1.558,1.537,0
0.700,1.571,1.558,1.537,1.555,0
1.571,1.558,1.537,1.555,2.194,1
1.558,1.537,1.555,2.194,2.890,1
1.537,1.555,2.194,2.890,2.887,1
1.555,2.194,2.890,2.887,2.883,1
2.194,2.890,2.887,2.883,2.885,1
2.890,2.887,2.883,2.885,2.796,0
2.887,2.883,2.885,2.796,2.806,0
2.883,2.885,2.796,2.806,2.791,0
2.885,2.796,2.806,2.791,2.778,0
2.796,2.806,2.791,2.778,0.691,2
2.806,2.791,2.778,0.691,0.715,2
2.791,2.778,0.691,0.715,0.717,2
2.778,0.691,0.715,0.717,0.707,2
0.691,0.715,0.717,0.707,0.703,2
0.734,0.715,0.735,0.827,1.578,1
0.715,0.735,0.827,1.578,1.567,1
0.735,0.827,1.578,1.567,1.568,1
0.827,1.578,1.567,1.568,1.605,1
1.578,1.567,1.568,1.605,2.424,1
1.567,1.568,1.605,2.424,2.857,1
1.568,1.605,2.424,2.857,2.894,1
1.605,2.424,2.857,2.894,2.869,1
2.424,2.857,2.894,2.869,2.865,1
2.857,2.894,2.869,2.865,2.808,0
2.894,2.869,2.865,2.808,2.831,0
2.869,2.865,2.808,2.831,2.827,0
2.865,2.808,2.831,2.827,2.819,0
2.808,2.831,2.827,2.819,0.798,2
2.831,2.827,2.819,0.798,0.697,2
2.827,2.819,0.798,0.697,0.706,2
2.819,0.798,0.697,0.706,0.685,2
0.798,0.697,0.706,0.685,0.696,2
