ValoresRms,TimeStamp,EPOCH,ClasseAparelho
1.821,08/07/2020 12:34:59.609,1594222499609,0
1.802,08/07/2020 12:35:00.107,1594222500107,0
1.815,08/07/2020 12:35:00.605,1594222500605,0
1.823,08/07/2020 12:35:01.103,1594222501103,0
1.821,08/07/2020 12:35:01.601,1594222501601,0
1.824,08/07/2020 12:35:02.099,1594222502099,0
1.822,08/07/2020 12:35:02.597,1594222502597,0
1.803,08/07/2020 12:35:03.094,1594222503094,0
1.808,08/07/2020 12:35:03.592,1594222503592,0
1.821,08/07/2020 12:35:04.090,1594222504090,0
1.809,08/07/2020 12:35:04.588,1594222504588,0
1.809,08/07/2020 12:35:05.086,1594222505086,0
1.812,08/07/2020 12:35:05.584,1594222505584,0
1.814,08/07/2020 12:35:06.082,1594222506082,0
1.817,08/07/2020 12:35:06.580,1594222506580,0
1.811,08/07/2020 12:35:07.078,1594222507078,0
1.808,08/07/2020 12:35:07.576,1594222507576,0
1.815,08/07/2020 12:35:08.074,1594222508074,0
1.802,08/07/2020 12:35:08.572,1594222508572,0
1.800,08/07/2020 12:35:09.070,1594222509070,0
1.807,08/07/2020 12:35:09.568,1594222509568,0
1.804,08/07/2020 12:35:10.066,1594222510066,0
1.798,08/07/2020 12:35:10.564,1594222510564,0
1.793,08/07/2020 12:35:11.061,1594222511061,0
1.806,08/07/2020 12:35:11.559,1594222511559,0
1.807,08/07/2020 12:35:12.057,1594222512057,0
1.820,08/07/2020 12:35:12.555,1594222512555,0
1.810,08/07/2020 12:35:13.053,1594222513053,0
1.809,08/07/2020 12:35:13.551,1594222513551,0
1.801,08/07/2020 12:35:14.049,1594222514049,0
1.801,08/07/2020 12:35:14.547,1594222514547,0
1.797,08/07/2020 12:35:15.045,1594222515045,0
1.799,08/07/2020 12:35:15.543,1594222515543,0
1.801,08/07/2020 12:35:16.041,1594222516041,0
1.805,08/07/2020 12:35:16.539,1594222516539,0
1.794,08/07/2020 12:35:17.037,1594222517037,0
1.800,08/07/2020 12:35:17.535,1594222517535,0
1.802,08/07/2020 12:35:18.033,1594222518033,0
1.803,08/07/2020 12:35:18.531,1594222518531,0
1.803,08/07/2020 12:35:19.029,1594222519029,0
1.804,08/07/2020 12:35:19.526,1594222519526,0
1.806,08/07/2020 12:35:20.024,1594222520024,0
1.800,08/07/2020 12:35:20.522,1594222520522,0
1.814,08/07/2020 12:35:21.020,1594222521020,0
1.796,08/07/2020 12:35:21.518,1594222521518,0
1.797,08/07/2020 12:35:22.016,1594222522016,0
1.802,08/07/2020 12:35:22.514,1594222522514,0
1.806,08/07/2020 12:35:23.012,1594222523012,0
1.810,08/07/2020 12:35:23.510,1594222523510,0
1.809,08/07/2020 12:35:24.008,1594222524008,0
1.804,08/07/2020 12:35:24.506,1594222524506,0
1.806,08/07/2020 12:35:25.004,1594222525004,0
1.804,08/07/2020 12:35:25.502,1594222525502,0
1.804,08/07/2020 12:35:26.000,1594222526000,0
1.805,08/07/2020 12:35:26.498,1594222526498,0
1.802,08/07/2020 12:35:26.996,1594222526996,0
1.802,08/07/2020 12:35:27.494,1594222527494,0
1.804,08/07/2020 12:35:27.991,1594222527991,0
1.801,08/07/2020 12:35:28.489,1594222528489,0
1.797,08/07/2020 12:35:28.987,1594222528987,0
1.810,08/07/2020 12:35:29.485,1594222529485,0
1.787,08/07/2020 12:35:29.983,1594222529983,0
1.803,08/07/2020 12:35:30.481,1594222530481,0
1.809,08/07/2020 12:35:30.979,1594222530979,0
1.809,08/07/2020 12:35:31.477,1594222531477,0
1.811,08/07/2020 12:35:31.975,1594222531975,0
1.808,08/07/2020 12:35:32.473,1594222532473,0
1.804,08/07/2020 12:35:32.971,1594222532971,0
1.809,08/07/2020 12:35:33.469,1594222533469,0
1.814,08/07/2020 12:35:33.967,1594222533967,0
1.795,08/07/2020 12:35:34.465,1594222534465,0
1.797,08/07/2020 12:35:34.963,1594222534963,0
1.807,08/07/2020 12:35:35.461,1594222535461,0
1.806,08/07/2020 12:35:35.958,1594222535958,0
1.803,08/07/2020 12:35:36.456,1594222536456,0
1.805,08/07/2020 12:35:36.954,1594222536954,0
1.797,08/07/2020 12:35:37.452,1594222537452,0
1.836,08/07/2020 12:35:37.950,1594222537950,0
1.803,08/07/2020 12:35:38.448,1594222538448,0
1.817,08/07/2020 12:35:38.946,1594222538946,0
1.826,08/07/2020 12:35:39.444,1594222539444,0
1.837,08/07/2020 12:35:39.942,1594222539942,0
1.831,08/07/2020 12:35:40.440,1594222540440,0
1.825,08/07/2020 12:35:40.938,1594222540938,0
1.830,08/07/2020 12:35:41.436,1594222541436,0
1.827,08/07/2020 12:35:41.934,1594222541934,0
1.821,08/07/2020 12:35:42.432,1594222542432,0
1.804,08/07/2020 12:35:42.930,1594222542930,0
1.798,08/07/2020 12:35:43.428,1594222543428,0
1.803,08/07/2020 12:35:43.926,1594222543926,0
1.803,08/07/2020 12:35:44.423,1594222544423,0
1.802,08/07/2020 12:35:44.921,1594222544921,0
1.810,08/07/2020 12:35:45.419,1594222545419,0
1.788,08/07/2020 12:35:45.917,1594222545917,0
1.810,08/07/2020 12:35:46.415,1594222546415,0
1.797,08/07/2020 12:35:46.913,1594222546913,0
1.805,08/07/2020 12:35:47.411,1594222547411,0
1.801,08/07/2020 12:35:47.909,1594222547909,0
1.809,08/07/2020 12:35:48.407,1594222548407,0
1.801,08/07/2020 12:35:48.905,1594222548905,0
1.802,08/07/2020 12:35:49.403,1594222549403,0
1.801,08/07/2020 12:35:49.901,1594222549901,0
1.801,08/07/2020 12:35:50.399,1594222550399,0
1.771,08/07/2020 12:35:50.897,1594222550897,0
1.794,08/07/2020 12:35:51.395,1594222551395,0
1.800,08/07/2020 12:35:51.893,1594222551893,0
1.804,08/07/2020 12:35:52.391,1594222552391,0
1.804,08/07/2020 12:35:52.888,1594222552888,0
1.801,08/07/2020 12:35:53.386,1594222553386,0
1.807,08/07/2020 12:35:53.884,1594222553884,0
1.803,08/07/2020 12:35:54.382,1594222554382,0
1.808,08/07/2020 12:35:54.880,1594222554880,0
1.795,08/07/2020 12:35:55.378,1594222555378,0
1.802,08/07/2020 12:35:55.876,1594222555876,0
1.798,08/07/2020 12:35:56.374,1594222556374,0
1.812,08/07/2020 12:35:56.872,1594222556872,0
1.809,08/07/2020 12:35:57.370,1594222557370,0
1.805,08/07/2020 12:35:57.868,1594222557868,0
1.805,08/07/2020 12:35:58.366,1594222558366,0
1.798,08/07/2020 12:35:58.864,1594222558864,0
1.792,08/07/2020 12:35:59.362,1594222559362,0
1.804,08/07/2020 12:35:59.860,1594222559860,0
1.791,08/07/2020 12:36:00.358,1594222560358,0
1.800,08/07/2020 12:36:00.855,1594222560855,0
1.810,08/07/2020 12:36:01.353,1594222561353,0
1.808,08/07/2020 12:36:01.851,1594222561851,0
1.805,08/07/2020 12:36:02.349,1594222562349,0
1.805,08/07/2020 12:36:02.847,1594222562847,0
