ValoresRms,TimeStamp,EPOCH
2.857,01/07/2020 21:30:50.622,1593649850622
2.881,01/07/2020 21:30:51.122,1593649851122
2.893,01/07/2020 21:30:51.622,1593649851622
2.881,01/07/2020 21:30:52.122,1593649852122
2.893,01/07/2020 21:30:52.622,1593649852622
2.876,01/07/2020 21:30:53.122,1593649853122
2.869,01/07/2020 21:30:53.622,1593649853622
2.878,01/07/2020 21:30:54.122,1593649854122
2.883,01/07/2020 21:30:54.622,1593649854622
2.905,01/07/2020 21:30:55.122,1593649855122
2.872,01/07/2020 21:30:55.622,1593649855622
2.879,01/07/2020 21:30:56.122,1593649856122
2.881,01/07/2020 21:30:56.622,1593649856622
2.873,01/07/2020 21:30:57.122,1593649857122
2.875,01/07/2020 21:30:57.622,1593649857622
2.873,01/07/2020 21:30:58.122,1593649858122
2.882,01/07/2020 21:30:58.622,1593649858622
2.874,01/07/2020 21:30:59.122,1593649859122
2.878,01/07/2020 21:30:59.622,1593649859622
2.864,01/07/2020 21:31:00.122,1593649860122
2.868,01/07/2020 21:31:00.622,1593649860622
2.862,01/07/2020 21:31:01.122,1593649861122
2.865,01/07/2020 21:31:01.622,1593649861622
2.850,01/07/2020 21:31:02.122,1593649862122
2.835,01/07/2020 21:31:02.622,1593649862622
2.950,01/07/2020 21:31:03.122,1593649863122
2.939,01/07/2020 21:31:03.622,1593649863622
2.953,01/07/2020 21:31:04.122,1593649864122
2.944,01/07/2020 21:31:04.622,1593649864622
2.945,01/07/2020 21:31:05.122,1593649865122
2.949,01/07/2020 21:31:05.622,1593649865622
2.934,01/07/2020 21:31:06.122,1593649866122
2.918,01/07/2020 21:31:06.622,1593649866622
2.937,01/07/2020 21:31:07.122,1593649867122
2.946,01/07/2020 21:31:07.622,1593649867622
2.949,01/07/2020 21:31:08.122,1593649868122
2.962,01/07/2020 21:31:08.622,1593649868622
2.977,01/07/2020 21:31:09.122,1593649869122
2.970,01/07/2020 21:31:09.622,1593649869622
2.971,01/07/2020 21:31:10.122,1593649870122
2.979,01/07/2020 21:31:10.622,1593649870622
2.978,01/07/2020 21:31:11.122,1593649871122
4.531,01/07/2020 21:31:11.622,1593649871622
4.490,01/07/2020 21:31:12.122,1593649872122
4.495,01/07/2020 21:31:12.622,1593649872622
4.505,01/07/2020 21:31:13.122,1593649873122
4.484,01/07/2020 21:31:13.622,1593649873622
4.488,01/07/2020 21:31:14.122,1593649874122
4.468,01/07/2020 21:31:14.622,1593649874622
4.465,01/07/2020 21:31:15.122,1593649875122
4.445,01/07/2020 21:31:15.622,1593649875622
4.466,01/07/2020 21:31:16.122,1593649876122
4.448,01/07/2020 21:31:16.622,1593649876622
4.466,01/07/2020 21:31:17.122,1593649877122
4.464,01/07/2020 21:31:17.622,1593649877622
4.484,01/07/2020 21:31:18.122,1593649878122
4.488,01/07/2020 21:31:18.622,1593649878622
2.943,01/07/2020 21:31:19.122,1593649879122
2.949,01/07/2020 21:31:19.622,1593649879622
2.953,01/07/2020 21:31:20.122,1593649880122
2.964,01/07/2020 21:31:20.622,1593649880622
2.957,01/07/2020 21:31:21.122,1593649881122
2.961,01/07/2020 21:31:21.622,1593649881622
2.971,01/07/2020 21:31:22.122,1593649882122
2.965,01/07/2020 21:31:22.622,1593649882622
2.960,01/07/2020 21:31:23.122,1593649883122
