ValoresRsm,TimeStamp,EPOCH
2.805,02/07/2020 14:15:44.322,1593710144322
2.793,02/07/2020 14:15:44.822,1593710144822
2.781,02/07/2020 14:15:45.322,1593710145322
2.803,02/07/2020 14:15:45.822,1593710145822
2.785,02/07/2020 14:15:46.322,1593710146322
2.789,02/07/2020 14:15:46.822,1593710146822
2.791,02/07/2020 14:15:47.322,1593710147322
2.820,02/07/2020 14:15:47.822,1593710147822
2.787,02/07/2020 14:15:48.322,1593710148322
2.779,02/07/2020 14:15:48.822,1593710148822
2.778,02/07/2020 14:15:49.322,1593710149322
2.782,02/07/2020 14:15:49.822,1593710149822
2.805,02/07/2020 14:15:50.322,1593710150322
2.818,02/07/2020 14:15:50.822,1593710150822
2.791,02/07/2020 14:15:51.322,1593710151322
2.783,02/07/2020 14:15:51.822,1593710151822
2.791,02/07/2020 14:15:52.322,1593710152322
2.779,02/07/2020 14:15:52.822,1593710152822
2.781,02/07/2020 14:15:53.322,1593710153322
2.766,02/07/2020 14:15:53.822,1593710153822
2.796,02/07/2020 14:15:54.322,1593710154322
2.757,02/07/2020 14:15:54.822,1593710154822
2.771,02/07/2020 14:15:55.322,1593710155322
2.762,02/07/2020 14:15:55.822,1593710155822
2.759,02/07/2020 14:15:56.322,1593710156322
2.789,02/07/2020 14:15:56.822,1593710156822
2.800,02/07/2020 14:15:57.322,1593710157322
2.796,02/07/2020 14:15:57.822,1593710157822
2.800,02/07/2020 14:15:58.322,1593710158322
2.803,02/07/2020 14:15:58.822,1593710158822
2.798,02/07/2020 14:15:59.322,1593710159322
2.797,02/07/2020 14:15:59.822,1593710159822
2.796,02/07/2020 14:16:00.322,1593710160322
2.798,02/07/2020 14:16:00.822,1593710160822
2.791,02/07/2020 14:16:01.322,1593710161322
2.799,02/07/2020 14:16:01.822,1593710161822
2.800,02/07/2020 14:16:02.322,1593710162322
2.793,02/07/2020 14:16:02.822,1593710162822
2.792,02/07/2020 14:16:03.322,1593710163322
2.834,02/07/2020 14:16:03.822,1593710163822
2.809,02/07/2020 14:16:04.322,1593710164322
2.803,02/07/2020 14:16:04.822,1593710164822
2.795,02/07/2020 14:16:05.322,1593710165322
2.809,02/07/2020 14:16:05.822,1593710165822
2.804,02/07/2020 14:16:06.322,1593710166322
2.789,02/07/2020 14:16:06.822,1593710166822
2.808,02/07/2020 14:16:07.322,1593710167322
2.798,02/07/2020 14:16:07.822,1593710167822
2.805,02/07/2020 14:16:08.322,1593710168322
2.799,02/07/2020 14:16:08.822,1593710168822
2.821,02/07/2020 14:16:09.322,1593710169322
2.808,02/07/2020 14:16:09.822,1593710169822
2.822,02/07/2020 14:16:10.322,1593710170322
2.851,02/07/2020 14:16:10.822,1593710170822
2.837,02/07/2020 14:16:11.322,1593710171322
2.789,02/07/2020 14:16:11.822,1593710171822
2.806,02/07/2020 14:16:12.322,1593710172322
2.812,02/07/2020 14:16:12.822,1593710172822
2.817,02/07/2020 14:16:13.322,1593710173322
2.815,02/07/2020 14:16:13.822,1593710173822
2.803,02/07/2020 14:16:14.322,1593710174322
2.804,02/07/2020 14:16:14.822,1593710174822
2.812,02/07/2020 14:16:15.322,1593710175322
2.813,02/07/2020 14:16:15.822,1593710175822
2.814,02/07/2020 14:16:16.322,1593710176322
2.806,02/07/2020 14:16:16.822,1593710176822
2.811,02/07/2020 14:16:17.322,1593710177322
2.809,02/07/2020 14:16:17.822,1593710177822
2.808,02/07/2020 14:16:18.322,1593710178322
2.806,02/07/2020 14:16:18.822,1593710178822
2.794,02/07/2020 14:16:19.322,1593710179322
2.787,02/07/2020 14:16:19.822,1593710179822
2.767,02/07/2020 14:16:20.322,1593710180322
2.784,02/07/2020 14:16:20.822,1593710180822
2.795,02/07/2020 14:16:21.322,1593710181322
2.796,02/07/2020 14:16:21.822,1593710181822
2.792,02/07/2020 14:16:22.322,1593710182322
2.797,02/07/2020 14:16:22.822,1593710182822
2.803,02/07/2020 14:16:23.322,1593710183322
2.806,02/07/2020 14:16:23.822,1593710183822
2.800,02/07/2020 14:16:24.322,1593710184322
2.806,02/07/2020 14:16:24.822,1593710184822
2.794,02/07/2020 14:16:25.322,1593710185322
2.809,02/07/2020 14:16:25.822,1593710185822
2.794,02/07/2020 14:16:26.322,1593710186322
2.796,02/07/2020 14:16:26.822,1593710186822
2.799,02/07/2020 14:16:27.322,1593710187322
2.837,02/07/2020 14:16:27.822,1593710187822
2.828,02/07/2020 14:16:28.322,1593710188322
2.808,02/07/2020 14:16:28.822,1593710188822
2.810,02/07/2020 14:16:29.322,1593710189322
2.798,02/07/2020 14:16:29.822,1593710189822
2.807,02/07/2020 14:16:30.322,1593710190322
2.796,02/07/2020 14:16:30.822,1593710190822
2.787,02/07/2020 14:16:31.322,1593710191322
2.788,02/07/2020 14:16:31.822,1593710191822
2.775,02/07/2020 14:16:32.322,1593710192322
2.788,02/07/2020 14:16:32.822,1593710192822
2.775,02/07/2020 14:16:33.322,1593710193322
2.802,02/07/2020 14:16:33.822,1593710193822
2.812,02/07/2020 14:16:34.322,1593710194322
2.795,02/07/2020 14:16:34.822,1593710194822
2.794,02/07/2020 14:16:35.322,1593710195322
2.797,02/07/2020 14:16:35.822,1593710195822
2.788,02/07/2020 14:16:36.322,1593710196322
2.795,02/07/2020 14:16:36.822,1593710196822
2.789,02/07/2020 14:16:37.322,1593710197322
2.802,02/07/2020 14:16:37.822,1593710197822
2.821,02/07/2020 14:16:38.322,1593710198322
2.792,02/07/2020 14:16:38.822,1593710198822
2.780,02/07/2020 14:16:39.322,1593710199322
2.786,02/07/2020 14:16:39.822,1593710199822
2.817,02/07/2020 14:16:40.322,1593710200322
2.793,02/07/2020 14:16:40.822,1593710200822
2.802,02/07/2020 14:16:41.322,1593710201322
2.773,02/07/2020 14:16:41.822,1593710201822
2.784,02/07/2020 14:16:42.322,1593710202322
2.800,02/07/2020 14:16:42.822,1593710202822
2.792,02/07/2020 14:16:43.322,1593710203322
2.784,02/07/2020 14:16:43.822,1593710203822
2.782,02/07/2020 14:16:44.322,1593710204322
2.787,02/07/2020 14:16:44.822,1593710204822
2.792,02/07/2020 14:16:45.322,1593710205322
2.786,02/07/2020 14:16:45.822,1593710205822
2.795,02/07/2020 14:16:46.322,1593710206322
2.809,02/07/2020 14:16:46.822,1593710206822
2.784,02/07/2020 14:16:47.322,1593710207322
2.790,02/07/2020 14:16:47.822,1593710207822
2.794,02/07/2020 14:16:48.322,1593710208322
2.794,02/07/2020 14:16:48.822,1593710208822
2.780,02/07/2020 14:16:49.322,1593710209322
2.791,02/07/2020 14:16:49.822,1593710209822
2.793,02/07/2020 14:16:50.322,1593710210322
2.819,02/07/2020 14:16:50.822,1593710210822
2.807,02/07/2020 14:16:51.322,1593710211322
2.815,02/07/2020 14:16:51.822,1593710211822
2.803,02/07/2020 14:16:52.322,1593710212322
2.806,02/07/2020 14:16:52.822,1593710212822
2.812,02/07/2020 14:16:53.322,1593710213322
2.819,02/07/2020 14:16:53.822,1593710213822
2.856,02/07/2020 14:16:54.322,1593710214322
2.834,02/07/2020 14:16:54.822,1593710214822
2.842,02/07/2020 14:16:55.322,1593710215322
2.847,02/07/2020 14:16:55.822,1593710215822
2.817,02/07/2020 14:16:56.322,1593710216322
2.808,02/07/2020 14:16:56.822,1593710216822
2.802,02/07/2020 14:16:57.322,1593710217322
2.798,02/07/2020 14:16:57.822,1593710217822
2.793,02/07/2020 14:16:58.322,1593710218322
2.814,02/07/2020 14:16:58.822,1593710218822
2.796,02/07/2020 14:16:59.322,1593710219322
2.806,02/07/2020 14:16:59.822,1593710219822
2.802,02/07/2020 14:17:00.322,1593710220322
2.803,02/07/2020 14:17:00.822,1593710220822
2.800,02/07/2020 14:17:01.322,1593710221322
2.832,02/07/2020 14:17:01.822,1593710221822
2.812,02/07/2020 14:17:02.322,1593710222322
2.799,02/07/2020 14:17:02.822,1593710222822
2.802,02/07/2020 14:17:03.322,1593710223322
2.836,02/07/2020 14:17:03.822,1593710223822
2.806,02/07/2020 14:17:04.322,1593710224322
2.823,02/07/2020 14:17:04.822,1593710224822
2.824,02/07/2020 14:17:05.322,1593710225322
2.818,02/07/2020 14:17:05.822,1593710225822
2.827,02/07/2020 14:17:06.322,1593710226322
2.833,02/07/2020 14:17:06.822,1593710226822
2.841,02/07/2020 14:17:07.322,1593710227322
2.835,02/07/2020 14:17:07.822,1593710227822
2.840,02/07/2020 14:17:08.322,1593710228322
2.840,02/07/2020 14:17:08.822,1593710228822
2.801,02/07/2020 14:17:09.322,1593710229322
2.823,02/07/2020 14:17:09.822,1593710229822
2.788,02/07/2020 14:17:10.322,1593710230322
2.791,02/07/2020 14:17:10.822,1593710230822
2.786,02/07/2020 14:17:11.322,1593710231322
2.796,02/07/2020 14:17:11.822,1593710231822
2.799,02/07/2020 14:17:12.322,1593710232322
2.793,02/07/2020 14:17:12.822,1593710232822
2.800,02/07/2020 14:17:13.322,1593710233322
2.828,02/07/2020 14:17:13.822,1593710233822
2.823,02/07/2020 14:17:14.322,1593710234322
2.827,02/07/2020 14:17:14.822,1593710234822
2.795,02/07/2020 14:17:15.322,1593710235322
0.719,02/07/2020 14:17:15.822,1593710235822
0.760,02/07/2020 14:17:16.322,1593710236322
0.738,02/07/2020 14:17:16.822,1593710236822
0.748,02/07/2020 14:17:17.322,1593710237322
0.724,02/07/2020 14:17:17.822,1593710237822
0.714,02/07/2020 14:17:18.322,1593710238322
0.718,02/07/2020 14:17:18.822,1593710238822
0.711,02/07/2020 14:17:19.322,1593710239322
0.721,02/07/2020 14:17:19.822,1593710239822
0.730,02/07/2020 14:17:20.322,1593710240322
0.720,02/07/2020 14:17:20.822,1593710240822
0.752,02/07/2020 14:17:21.322,1593710241322
0.748,02/07/2020 14:17:21.822,1593710241822
0.751,02/07/2020 14:17:22.322,1593710242322
0.753,02/07/2020 14:17:22.822,1593710242822
0.744,02/07/2020 14:17:23.322,1593710243322
0.750,02/07/2020 14:17:23.822,1593710243822
0.744,02/07/2020 14:17:24.322,1593710244322
0.752,02/07/2020 14:17:24.822,1593710244822
0.752,02/07/2020 14:17:25.322,1593710245322
0.743,02/07/2020 14:17:25.822,1593710245822
0.750,02/07/2020 14:17:26.322,1593710246322
0.749,02/07/2020 14:17:26.822,1593710246822
0.747,02/07/2020 14:17:27.322,1593710247322
0.747,02/07/2020 14:17:27.822,1593710247822
0.774,02/07/2020 14:17:28.322,1593710248322
0.767,02/07/2020 14:17:28.822,1593710248822
0.742,02/07/2020 14:17:29.323,1593710249323
0.744,02/07/2020 14:17:29.823,1593710249823
0.744,02/07/2020 14:17:30.323,1593710250323
0.750,02/07/2020 14:17:30.823,1593710250823
0.758,02/07/2020 14:17:31.323,1593710251323
0.756,02/07/2020 14:17:31.823,1593710251823
0.748,02/07/2020 14:17:32.323,1593710252323
0.733,02/07/2020 14:17:32.823,1593710252823
0.755,02/07/2020 14:17:33.323,1593710253323
0.754,02/07/2020 14:17:33.823,1593710253823
0.755,02/07/2020 14:17:34.323,1593710254323
0.750,02/07/2020 14:17:34.823,1593710254823
0.758,02/07/2020 14:17:35.323,1593710255323
0.745,02/07/2020 14:17:35.823,1593710255823
0.746,02/07/2020 14:17:36.323,1593710256323
0.762,02/07/2020 14:17:36.823,1593710256823
