ValoresRms,TimeStamp,EPOCH
0.714,15/07/2020 19:53:27.841,1594853607841
0.711,15/07/2020 19:53:28.341,1594853608341
0.717,15/07/2020 19:53:28.840,1594853608840
0.710,15/07/2020 19:53:29.340,1594853609340
0.713,15/07/2020 19:53:29.839,1594853609839
0.717,15/07/2020 19:53:30.339,1594853610339
0.720,15/07/2020 19:53:30.838,1594853610838
0.724,15/07/2020 19:53:31.337,1594853611337
0.709,15/07/2020 19:53:31.837,1594853611837
0.725,15/07/2020 19:53:32.336,1594853612336
0.708,15/07/2020 19:53:32.836,1594853612836
0.710,15/07/2020 19:53:33.335,1594853613335
0.708,15/07/2020 19:53:33.835,1594853613835
0.717,15/07/2020 19:53:34.334,1594853614334
0.723,15/07/2020 19:53:34.834,1594853614834
0.715,15/07/2020 19:53:35.333,1594853615333
0.714,15/07/2020 19:53:35.833,1594853615833
0.716,15/07/2020 19:53:36.332,1594853616332
0.712,15/07/2020 19:53:36.831,1594853616831
0.719,15/07/2020 19:53:37.331,1594853617331
0.720,15/07/2020 19:53:37.830,1594853617830
0.717,15/07/2020 19:53:38.330,1594853618330
0.716,15/07/2020 19:53:38.829,1594853618829
0.707,15/07/2020 19:53:39.329,1594853619329
0.715,15/07/2020 19:53:39.828,1594853619828
0.716,15/07/2020 19:53:40.328,1594853620328
0.719,15/07/2020 19:53:40.827,1594853620827
0.720,15/07/2020 19:53:41.327,1594853621327
0.715,15/07/2020 19:53:41.826,1594853621826
0.712,15/07/2020 19:53:42.325,1594853622325
0.708,15/07/2020 19:53:42.825,1594853622825
0.706,15/07/2020 19:53:43.324,1594853623324
0.720,15/07/2020 19:53:43.824,1594853623824
0.707,15/07/2020 19:53:44.323,1594853624323
0.711,15/07/2020 19:53:44.823,1594853624823
0.725,15/07/2020 19:53:45.322,1594853625322
0.731,15/07/2020 19:53:45.822,1594853625822
0.715,15/07/2020 19:53:46.321,1594853626321
0.751,15/07/2020 19:53:46.821,1594853626821
0.717,15/07/2020 19:53:47.320,1594853627320
0.726,15/07/2020 19:53:47.819,1594853627819
0.718,15/07/2020 19:53:48.319,1594853628319
0.712,15/07/2020 19:53:48.818,1594853628818
0.707,15/07/2020 19:53:49.318,1594853629318
0.720,15/07/2020 19:53:49.817,1594853629817
0.715,15/07/2020 19:53:50.317,1594853630317
0.715,15/07/2020 19:53:50.816,1594853630816
0.709,15/07/2020 19:53:51.316,1594853631316
0.708,15/07/2020 19:53:51.815,1594853631815
0.713,15/07/2020 19:53:52.315,1594853632315
0.706,15/07/2020 19:53:52.814,1594853632814
0.727,15/07/2020 19:53:53.313,1594853633313
0.710,15/07/2020 19:53:53.813,1594853633813
0.715,15/07/2020 19:53:54.312,1594853634312
0.709,15/07/2020 19:53:54.812,1594853634812
0.760,15/07/2020 19:53:55.311,1594853635311
0.715,15/07/2020 19:53:55.811,1594853635811
0.721,15/07/2020 19:53:56.310,1594853636310
0.705,15/07/2020 19:53:56.810,1594853636810
0.711,15/07/2020 19:53:57.309,1594853637309
0.714,15/07/2020 19:53:57.809,1594853637809
0.715,15/07/2020 19:53:58.308,1594853638308
0.714,15/07/2020 19:53:58.807,1594853638807
0.710,15/07/2020 19:53:59.307,1594853639307
0.711,15/07/2020 19:53:59.806,1594853639806
0.720,15/07/2020 19:54:00.306,1594853640306
0.716,15/07/2020 19:54:00.805,1594853640805
0.716,15/07/2020 19:54:01.305,1594853641305
0.756,15/07/2020 19:54:01.804,1594853641804
0.747,15/07/2020 19:54:02.304,1594853642304
0.715,15/07/2020 19:54:02.803,1594853642803
0.740,15/07/2020 19:54:03.303,1594853643303
0.714,15/07/2020 19:54:03.802,1594853643802
0.725,15/07/2020 19:54:04.301,1594853644301
0.729,15/07/2020 19:54:04.801,1594853644801
0.788,15/07/2020 19:54:05.300,1594853645300
0.708,15/07/2020 19:54:05.800,1594853645800
0.711,15/07/2020 19:54:06.299,1594853646299
0.711,15/07/2020 19:54:06.799,1594853646799
0.714,15/07/2020 19:54:07.298,1594853647298
0.723,15/07/2020 19:54:07.798,1594853647798
0.721,15/07/2020 19:54:08.297,1594853648297
0.719,15/07/2020 19:54:08.797,1594853648797
0.721,15/07/2020 19:54:09.296,1594853649296
0.747,15/07/2020 19:54:09.795,1594853649795
0.734,15/07/2020 19:54:10.295,1594853650295
0.713,15/07/2020 19:54:10.794,1594853650794
0.714,15/07/2020 19:54:11.294,1594853651294
0.778,15/07/2020 19:54:11.793,1594853651793
0.728,15/07/2020 19:54:12.293,1594853652293
0.710,15/07/2020 19:54:12.792,1594853652792
0.723,15/07/2020 19:54:13.292,1594853653292
0.700,15/07/2020 19:54:13.791,1594853653791
0.718,15/07/2020 19:54:14.291,1594853654291
0.708,15/07/2020 19:54:14.790,1594853654790
0.710,15/07/2020 19:54:15.289,1594853655289
0.712,15/07/2020 19:54:15.789,1594853655789
0.716,15/07/2020 19:54:16.288,1594853656288
0.712,15/07/2020 19:54:16.788,1594853656788
0.715,15/07/2020 19:54:17.287,1594853657287
0.714,15/07/2020 19:54:17.787,1594853657787
