ValoresRms,TimeStamp,EPOCH,ligando_1,desligando_1
0.647,05/07/2020 17:23:26.255,1593980606255,0,0
0.666,05/07/2020 17:23:26.752,1593980606752,0,0
0.654,05/07/2020 17:23:27.249,1593980607249,0,0
0.662,05/07/2020 17:23:27.746,1593980607746,0,0
0.653,05/07/2020 17:23:28.243,1593980608243,0,0
0.689,05/07/2020 17:23:28.740,1593980608740,0,0
0.693,05/07/2020 17:23:29.236,1593980609236,0,0
0.695,05/07/2020 17:23:56.566,1593980636566,0,0
0.693,05/07/2020 17:23:57.063,1593980637063,0,0
0.693,05/07/2020 17:23:57.559,1593980637559,0,0
0.690,05/07/2020 17:23:58.056,1593980638056,0,0
0.693,05/07/2020 17:23:58.553,1593980638553,0,0
0.691,05/07/2020 17:23:59.050,1593980639050,0,0
0.699,05/07/2020 17:23:59.547,1593980639547,0,0
0.698,05/07/2020 17:24:00.044,1593980640044,0,0
0.707,05/07/2020 17:24:00.541,1593980640541,0,0
0.686,05/07/2020 17:24:01.038,1593980641038,0,0
0.686,05/07/2020 17:24:01.535,1593980641535,0,0
0.693,05/07/2020 17:24:02.031,1593980642031,0,0
0.688,05/07/2020 17:24:02.528,1593980642528,0,0
0.820,05/07/2020 17:24:03.025,1593980643025,0,0
0.817,05/07/2020 17:24:03.522,1593980643522,0,0
0.819,05/07/2020 17:24:04.019,1593980644019,0,0
0.809,05/07/2020 17:24:04.516,1593980644516,0,0
0.824,05/07/2020 17:24:05.013,1593980645013,0,0
0.825,05/07/2020 17:24:05.510,1593980645510,0,0
2.895,05/07/2020 17:24:06.007,1593980646007,1,0
2.821,05/07/2020 17:24:06.504,1593980646504,1,0
2.902,05/07/2020 17:24:07.000,1593980647000,0,0
2.903,05/07/2020 17:24:07.497,1593980647497,0,0
2.898,05/07/2020 17:24:07.994,1593980647994,0,0
2.904,05/07/2020 17:24:08.491,1593980648491,0,0
2.903,05/07/2020 17:24:08.988,1593980648988,0,0
2.899,05/07/2020 17:24:09.485,1593980649485,0,0
2.898,05/07/2020 17:24:09.982,1593980649982,0,0
2.902,05/07/2020 17:24:10.479,1593980650479,0,0
2.897,05/07/2020 17:24:10.976,1593980650976,0,0
2.885,05/07/2020 17:24:11.472,1593980651472,0,0
2.886,05/07/2020 17:24:11.969,1593980651969,0,0
2.902,05/07/2020 17:24:12.466,1593980652466,0,0
2.906,05/07/2020 17:24:12.963,1593980652963,0,0
2.910,05/07/2020 17:24:13.460,1593980653460,0,0
2.902,05/07/2020 17:24:13.957,1593980653957,0,0
2.910,05/07/2020 17:24:14.454,1593980654454,0,0
2.906,05/07/2020 17:24:14.951,1593980654951,0,0
2.902,05/07/2020 17:24:15.448,1593980655448,0,0
2.906,05/07/2020 17:24:15.945,1593980655945,0,0
2.910,05/07/2020 17:24:16.441,1593980656441,0,0
2.914,05/07/2020 17:24:16.938,1593980656938,0,0
2.900,05/07/2020 17:24:17.435,1593980657435,0,0
0.702,05/07/2020 17:24:17.932,1593980657932,0,1
0.710,05/07/2020 17:24:18.429,1593980658429,0,0
0.711,05/07/2020 17:24:18.926,1593980658926,0,0
0.710,05/07/2020 17:24:19.423,1593980659423,0,0
0.717,05/07/2020 17:24:19.920,1593980659920,0,0
0.706,05/07/2020 17:24:20.417,1593980660417,0,0
0.712,05/07/2020 17:24:20.913,1593980660913,0,0
0.727,05/07/2020 17:24:21.410,1593980661410,0,0
0.707,05/07/2020 17:24:21.907,1593980661907,0,0
0.693,05/07/2020 17:24:22.404,1593980662404,0,0
0.721,05/07/2020 17:24:22.901,1593980662901,0,0
0.715,05/07/2020 17:24:23.398,1593980663398,0,0
0.715,05/07/2020 17:24:23.895,1593980663895,0,0
0.716,05/07/2020 17:24:24.392,1593980664392,0,0
0.716,05/07/2020 17:24:24.889,1593980664889,0,0
2.838,05/07/2020 17:24:25.386,1593980665386,1,0
2.818,05/07/2020 17:24:25.882,1593980665882,0,0
2.817,05/07/2020 17:24:26.379,1593980666379,0,0
2.816,05/07/2020 17:24:26.876,1593980666876,0,0
0.724,05/07/2020 17:24:27.373,1593980667373,0,1
0.715,05/07/2020 17:24:27.870,1593980667870,0,0
0.715,05/07/2020 17:24:28.367,1593980668367,0,0
0.715,05/07/2020 17:24:28.864,1593980668864,0,0
0.710,05/07/2020 17:24:29.361,1593980669361,0,0
0.733,05/07/2020 17:24:29.858,1593980669858,0,0
0.705,05/07/2020 17:24:51.721,1593980691721,0,0
0.700,05/07/2020 17:24:52.218,1593980692218,0,0
0.703,05/07/2020 17:24:52.715,1593980692715,0,0
0.706,05/07/2020 17:24:53.212,1593980693212,0,0
0.703,05/07/2020 17:24:53.709,1593980693709,0,0
0.690,05/07/2020 17:24:54.205,1593980694205,0,0
0.719,05/07/2020 17:24:54.702,1593980694702,0,0
0.718,05/07/2020 17:24:55.199,1593980695199,0,0
0.724,05/07/2020 17:24:55.696,1593980695696,0,0
0.710,05/07/2020 17:24:56.193,1593980696193,0,0
0.711,05/07/2020 17:24:56.690,1593980696690,0,0
0.718,05/07/2020 17:24:57.187,1593980697187,0,0
0.715,05/07/2020 17:24:57.684,1593980697684,0,0
0.708,05/07/2020 17:24:58.181,1593980698181,0,0
0.708,05/07/2020 17:24:58.677,1593980698677,0,0
0.708,05/07/2020 17:24:59.174,1593980699174,0,0
2.874,05/07/2020 17:24:59.671,1593980699671,1,0
2.910,05/07/2020 17:25:00.168,1593980700168,0,0
2.911,05/07/2020 17:25:00.665,1593980700665,0,0
2.909,05/07/2020 17:25:01.162,1593980701162,0,0
2.916,05/07/2020 17:25:01.659,1593980701659,0,0
2.900,05/07/2020 17:25:02.156,1593980702156,0,0
2.900,05/07/2020 17:25:02.653,1593980702653,0,0
2.909,05/07/2020 17:25:03.150,1593980703150,0,0
2.917,05/07/2020 17:25:03.646,1593980703646,0,0
2.904,05/07/2020 17:25:04.143,1593980704143,0,0
2.908,05/07/2020 17:25:04.640,1593980704640,0,0
2.910,05/07/2020 17:25:05.137,1593980705137,0,0
2.906,05/07/2020 17:25:05.634,1593980705634,0,0
2.905,05/07/2020 17:25:06.131,1593980706131,0,0
2.904,05/07/2020 17:25:06.628,1593980706628,0,0
2.900,05/07/2020 17:25:07.125,1593980707125,0,0
2.908,05/07/2020 17:25:07.622,1593980707622,0,0
2.906,05/07/2020 17:25:08.118,1593980708118,0,0
2.908,05/07/2020 17:25:08.615,1593980708615,0,0
2.902,05/07/2020 17:25:09.112,1593980709112,0,0
2.911,05/07/2020 17:25:09.609,1593980709609,0,0
2.914,05/07/2020 17:25:10.106,1593980710106,0,0
2.912,05/07/2020 17:25:10.603,1593980710603,0,0
2.911,05/07/2020 17:25:11.100,1593980711100,0,0
2.916,05/07/2020 17:25:11.597,1593980711597,0,0
2.919,05/07/2020 17:25:12.094,1593980712094,0,0
2.906,05/07/2020 17:25:12.591,1593980712591,0,0
2.918,05/07/2020 17:25:13.087,1593980713087,0,0
2.911,05/07/2020 17:25:13.584,1593980713584,0,0
2.921,05/07/2020 17:25:14.081,1593980714081,0,0
2.929,05/07/2020 17:25:14.578,1593980714578,0,0
2.818,05/07/2020 17:25:15.075,1593980715075,0,0
0.704,05/07/2020 17:25:15.572,1593980715572,0,1
0.707,05/07/2020 17:25:16.069,1593980716069,0,0
0.719,05/07/2020 17:25:16.566,1593980716566,0,0
0.700,05/07/2020 17:25:17.063,1593980717063,0,0
0.705,05/07/2020 17:25:17.559,1593980717559,0,0
0.709,05/07/2020 17:25:18.056,1593980718056,0,0
0.710,05/07/2020 17:25:18.553,1593980718553,0,0
0.712,05/07/2020 17:25:19.050,1593980719050,0,0
0.708,05/07/2020 17:25:19.547,1593980719547,0,0
