ValoresRms,Tempo,TimeStamp
0.104,31/05/2020 15:09:20.777,1590948560777
0.106,31/05/2020 15:09:21.277,1590948561277
0.107,31/05/2020 15:09:21.777,1590948561777
0.093,31/05/2020 15:09:22.277,1590948562277
0.099,31/05/2020 15:09:22.777,1590948562777
0.100,31/05/2020 15:09:23.277,1590948563277
0.102,31/05/2020 15:09:23.777,1590948563777
0.101,31/05/2020 15:09:24.277,1590948564277
0.100,31/05/2020 15:09:24.777,1590948564777
0.102,31/05/2020 15:09:25.277,1590948565277
0.076,31/05/2020 15:09:25.777,1590948565777
0.102,31/05/2020 15:09:26.277,1590948566277
0.096,31/05/2020 15:09:26.777,1590948566777
0.102,31/05/2020 15:09:27.277,1590948567277
0.098,31/05/2020 15:09:27.777,1590948567777
0.104,31/05/2020 15:09:28.277,1590948568277
0.100,31/05/2020 15:09:28.777,1590948568777
0.106,31/05/2020 15:09:29.277,1590948569277
0.104,31/05/2020 15:09:29.777,1590948569777
0.102,31/05/2020 15:09:30.277,1590948570277
0.093,31/05/2020 15:09:30.777,1590948570777
0.100,31/05/2020 15:09:31.277,1590948571277
0.101,31/05/2020 15:09:31.777,1590948571777
0.101,31/05/2020 15:09:32.277,1590948572277
0.101,31/05/2020 15:09:32.777,1590948572777
0.105,31/05/2020 15:09:33.277,1590948573277
0.102,31/05/2020 15:09:33.777,1590948573777
0.102,31/05/2020 15:09:34.277,1590948574277
0.101,31/05/2020 15:09:34.777,1590948574777
0.095,31/05/2020 15:09:35.277,1590948575277
0.100,31/05/2020 15:09:35.777,1590948575777
0.103,31/05/2020 15:09:36.277,1590948576277
0.102,31/05/2020 15:09:36.777,1590948576777
0.107,31/05/2020 15:09:37.277,1590948577277
0.103,31/05/2020 15:09:37.777,1590948577777
0.102,31/05/2020 15:09:38.277,1590948578277
0.105,31/05/2020 15:09:38.777,1590948578777
0.092,31/05/2020 15:09:39.277,1590948579277
0.100,31/05/2020 15:09:39.777,1590948579777
0.103,31/05/2020 15:09:40.277,1590948580277
0.103,31/05/2020 15:09:40.777,1590948580777
0.100,31/05/2020 15:09:41.277,1590948581277
0.102,31/05/2020 15:09:41.777,1590948581777
0.100,31/05/2020 15:09:42.277,1590948582277
0.105,31/05/2020 15:09:42.777,1590948582777
0.106,31/05/2020 15:09:43.277,1590948583277
0.096,31/05/2020 15:09:43.777,1590948583777
0.100,31/05/2020 15:09:44.277,1590948584277
0.104,31/05/2020 15:09:44.777,1590948584777
0.101,31/05/2020 15:09:45.277,1590948585277
0.104,31/05/2020 15:09:45.777,1590948585777
0.100,31/05/2020 15:09:46.277,1590948586277
0.100,31/05/2020 15:09:46.777,1590948586777
0.103,31/05/2020 15:09:47.277,1590948587277
0.098,31/05/2020 15:09:47.777,1590948587777
0.098,31/05/2020 15:09:48.277,1590948588277
0.103,31/05/2020 15:09:48.777,1590948588777
0.100,31/05/2020 15:09:49.277,1590948589277
0.102,31/05/2020 15:09:49.777,1590948589777
0.100,31/05/2020 15:09:50.277,1590948590277
0.102,31/05/2020 15:09:50.777,1590948590777
0.101,31/05/2020 15:09:51.277,1590948591277
0.107,31/05/2020 15:09:51.777,1590948591777
0.090,31/05/2020 15:09:52.277,1590948592277
0.099,31/05/2020 15:09:52.777,1590948592777
0.100,31/05/2020 15:09:53.277,1590948593277
0.099,31/05/2020 15:09:53.777,1590948593777
0.104,31/05/2020 15:09:54.277,1590948594277
0.100,31/05/2020 15:09:54.777,1590948594777
0.101,31/05/2020 15:09:55.277,1590948595277
0.098,31/05/2020 15:09:55.777,1590948595777
0.096,31/05/2020 15:09:56.277,1590948596277
0.082,31/05/2020 15:09:56.777,1590948596777
0.105,31/05/2020 15:09:57.277,1590948597277
0.108,31/05/2020 15:09:57.777,1590948597777
0.106,31/05/2020 15:09:58.277,1590948598277
0.108,31/05/2020 15:09:58.777,1590948598777
0.114,31/05/2020 15:09:59.277,1590948599277
0.112,31/05/2020 15:09:59.777,1590948599777
0.109,31/05/2020 15:10:00.277,1590948600277
0.098,31/05/2020 15:10:00.777,1590948600777
0.104,31/05/2020 15:10:01.277,1590948601277
0.104,31/05/2020 15:10:01.777,1590948601777
0.105,31/05/2020 15:10:02.277,1590948602277
0.106,31/05/2020 15:10:02.777,1590948602777
0.106,31/05/2020 15:10:03.277,1590948603277
0.109,31/05/2020 15:10:03.777,1590948603777
0.110,31/05/2020 15:10:04.277,1590948604277
