ValoresRms,Tempo,TimeStamp
9.822,23/05/2020 06:44:28.678,1590227068678
9.822,23/05/2020 06:44:29.178,1590227069178
9.822,23/05/2020 06:44:29.678,1590227069678
9.822,23/05/2020 06:44:30.178,1590227070178
9.822,23/05/2020 06:44:30.678,1590227070678
9.822,23/05/2020 06:44:31.178,1590227071178
9.822,23/05/2020 06:44:31.678,1590227071678
9.822,23/05/2020 06:44:32.178,1590227072178
9.822,23/05/2020 06:44:32.678,1590227072678
9.822,23/05/2020 06:44:33.178,1590227073178
9.822,23/05/2020 06:44:33.678,1590227073678
9.822,23/05/2020 06:44:34.178,1590227074178
9.822,23/05/2020 06:44:34.678,1590227074678
9.822,23/05/2020 06:44:35.178,1590227075178
9.822,23/05/2020 06:44:35.678,1590227075678
9.822,23/05/2020 06:44:36.178,1590227076178
9.822,23/05/2020 06:44:36.678,1590227076678
9.822,23/05/2020 06:44:37.178,1590227077178
9.822,23/05/2020 06:44:37.678,1590227077678
9.822,23/05/2020 06:44:38.178,1590227078178
9.822,23/05/2020 06:44:38.678,1590227078678
9.822,23/05/2020 06:44:39.178,1590227079178
9.822,23/05/2020 06:44:39.678,1590227079678
9.822,23/05/2020 06:44:40.178,1590227080178
9.822,23/05/2020 06:44:40.678,1590227080678
9.822,23/05/2020 06:44:41.178,1590227081178
9.822,23/05/2020 06:44:41.678,1590227081678
9.822,23/05/2020 06:44:42.178,1590227082178
9.822,23/05/2020 06:44:42.678,1590227082678
9.822,23/05/2020 06:44:43.178,1590227083178
9.822,23/05/2020 06:44:43.678,1590227083678
9.822,23/05/2020 06:44:44.178,1590227084178
9.822,23/05/2020 06:44:44.678,1590227084678
9.822,23/05/2020 06:44:45.178,1590227085178
9.822,23/05/2020 06:44:45.678,1590227085678
9.822,23/05/2020 06:44:46.178,1590227086178
9.822,23/05/2020 06:44:46.678,1590227086678
9.822,23/05/2020 06:44:47.178,1590227087178
9.822,23/05/2020 06:44:47.678,1590227087678
9.822,23/05/2020 06:44:48.178,1590227088178
9.822,23/05/2020 06:44:48.678,1590227088678
9.822,23/05/2020 06:44:49.178,1590227089178
9.822,23/05/2020 06:44:49.678,1590227089678
9.822,23/05/2020 06:44:50.178,1590227090178
9.822,23/05/2020 06:44:50.678,1590227090678
9.822,23/05/2020 06:44:51.178,1590227091178
9.822,23/05/2020 06:44:51.678,1590227091678
9.822,23/05/2020 06:44:52.178,1590227092178
9.822,23/05/2020 06:44:52.678,1590227092678
9.822,23/05/2020 06:44:53.178,1590227093178
9.822,23/05/2020 06:44:53.678,1590227093678
9.822,23/05/2020 06:44:54.178,1590227094178
9.822,23/05/2020 06:44:54.678,1590227094678
9.822,23/05/2020 06:44:55.178,1590227095178
9.822,23/05/2020 06:44:55.678,1590227095678
9.822,23/05/2020 06:44:56.178,1590227096178
9.822,23/05/2020 06:44:56.678,1590227096678
9.821,23/05/2020 06:44:57.178,1590227097178
9.822,23/05/2020 06:44:57.678,1590227097678
9.822,23/05/2020 06:44:58.178,1590227098178
9.822,23/05/2020 06:44:58.678,1590227098678
9.822,23/05/2020 06:44:59.178,1590227099178
9.822,23/05/2020 06:44:59.678,1590227099678
9.822,23/05/2020 06:45:00.178,1590227100178
9.822,23/05/2020 06:45:00.678,1590227100678
9.822,23/05/2020 06:45:01.178,1590227101178
9.822,23/05/2020 06:45:01.678,1590227101678
9.822,23/05/2020 06:45:02.178,1590227102178
9.822,23/05/2020 06:45:02.678,1590227102678
9.822,23/05/2020 06:45:03.178,1590227103178
9.822,23/05/2020 06:45:03.678,1590227103678
9.822,23/05/2020 06:45:04.178,1590227104178
9.822,23/05/2020 06:45:04.678,1590227104678
9.822,23/05/2020 06:45:05.178,1590227105178
9.822,23/05/2020 06:45:05.678,1590227105678
9.821,23/05/2020 06:45:06.178,1590227106178
9.822,23/05/2020 06:45:06.678,1590227106678
9.822,23/05/2020 06:45:07.178,1590227107178
9.822,23/05/2020 06:45:07.678,1590227107678
9.822,23/05/2020 06:45:08.178,1590227108178
9.822,23/05/2020 06:45:08.678,1590227108678
9.822,23/05/2020 06:45:09.178,1590227109178
9.822,23/05/2020 06:45:09.678,1590227109678
9.822,23/05/2020 06:45:10.178,1590227110178
9.822,23/05/2020 06:45:10.678,1590227110678
9.822,23/05/2020 06:45:11.178,1590227111178
9.822,23/05/2020 06:45:11.678,1590227111678
9.822,23/05/2020 06:45:12.178,1590227112178
9.822,23/05/2020 06:45:12.678,1590227112678
9.822,23/05/2020 06:45:13.178,1590227113178
9.822,23/05/2020 06:45:13.678,1590227113678
9.822,23/05/2020 06:45:14.178,1590227114178
9.822,23/05/2020 06:45:14.678,1590227114678
9.822,23/05/2020 06:45:15.178,1590227115178
9.822,23/05/2020 06:45:15.678,1590227115678
9.822,23/05/2020 06:45:16.178,1590227116178
9.822,23/05/2020 06:45:16.678,1590227116678
9.822,23/05/2020 06:45:17.178,1590227117178
9.822,23/05/2020 06:45:17.678,1590227117678
9.822,23/05/2020 06:45:18.178,1590227118178
9.822,23/05/2020 06:45:18.678,1590227118678
9.822,23/05/2020 06:45:19.178,1590227119178
9.822,23/05/2020 06:45:19.678,1590227119678
9.822,23/05/2020 06:45:20.178,1590227120178
9.822,23/05/2020 06:45:20.678,1590227120678
9.822,23/05/2020 06:45:21.178,1590227121178
9.822,23/05/2020 06:45:21.678,1590227121678
9.822,23/05/2020 06:45:22.178,1590227122178
9.822,23/05/2020 06:45:22.678,1590227122678
9.822,23/05/2020 06:45:23.178,1590227123178
9.822,23/05/2020 06:45:23.678,1590227123678
9.822,23/05/2020 06:45:24.178,1590227124178
9.822,23/05/2020 06:45:24.678,1590227124678
9.822,23/05/2020 06:45:25.178,1590227125178
9.822,23/05/2020 06:45:25.678,1590227125678
9.822,23/05/2020 06:45:26.178,1590227126178
9.822,23/05/2020 06:45:26.678,1590227126678
9.822,23/05/2020 06:45:27.178,1590227127178
9.822,23/05/2020 06:45:27.678,1590227127678
9.822,23/05/2020 06:45:28.178,1590227128178
9.822,23/05/2020 06:45:28.678,1590227128678
9.822,23/05/2020 06:45:29.178,1590227129178
9.822,23/05/2020 06:45:29.678,1590227129678
9.822,23/05/2020 06:45:30.178,1590227130178
