ValoresRms,Tempo,TimeStamp
0.077,30/05/2020 17:21:15.523,1590870075523
0.077,30/05/2020 17:21:16.023,1590870076023
0.078,30/05/2020 17:21:16.523,1590870076523
0.076,30/05/2020 17:21:17.023,1590870077023
0.080,30/05/2020 17:21:17.523,1590870077523
0.078,30/05/2020 17:21:18.023,1590870078023
0.074,30/05/2020 17:21:18.523,1590870078523
0.074,30/05/2020 17:21:19.023,1590870079023
0.075,30/05/2020 17:21:19.523,1590870079523
0.078,30/05/2020 17:21:20.023,1590870080023
0.076,30/05/2020 17:21:20.523,1590870080523
0.078,30/05/2020 17:21:21.023,1590870081023
0.076,30/05/2020 17:21:21.523,1590870081523
0.080,30/05/2020 17:21:22.023,1590870082023
0.075,30/05/2020 17:21:22.523,1590870082523
0.069,30/05/2020 17:21:23.023,1590870083023
0.078,30/05/2020 17:21:23.523,1590870083523
0.055,30/05/2020 17:21:24.023,1590870084023
0.074,30/05/2020 17:21:24.523,1590870084523
0.078,30/05/2020 17:21:25.023,1590870085023
0.076,30/05/2020 17:21:25.523,1590870085523
0.076,30/05/2020 17:21:26.023,1590870086023
0.082,30/05/2020 17:21:26.523,1590870086523
0.075,30/05/2020 17:21:27.023,1590870087023
0.077,30/05/2020 17:21:27.523,1590870087523
0.076,30/05/2020 17:21:28.023,1590870088023
0.078,30/05/2020 17:21:28.523,1590870088523
0.079,30/05/2020 17:21:29.023,1590870089023
0.075,30/05/2020 17:21:29.523,1590870089523
0.078,30/05/2020 17:21:30.023,1590870090023
0.079,30/05/2020 17:21:30.523,1590870090523
0.079,30/05/2020 17:21:31.023,1590870091023
0.067,30/05/2020 17:21:31.523,1590870091523
0.077,30/05/2020 17:21:32.023,1590870092023
0.072,30/05/2020 17:21:32.523,1590870092523
0.079,30/05/2020 17:21:33.023,1590870093023
0.073,30/05/2020 17:21:33.523,1590870093523
0.077,30/05/2020 17:21:34.023,1590870094023
0.078,30/05/2020 17:21:34.523,1590870094523
0.079,30/05/2020 17:21:35.023,1590870095023
0.078,30/05/2020 17:21:35.523,1590870095523
0.080,30/05/2020 17:21:36.023,1590870096023
0.078,30/05/2020 17:21:36.523,1590870096523
0.073,30/05/2020 17:21:37.023,1590870097023
0.072,30/05/2020 17:21:37.523,1590870097523
0.077,30/05/2020 17:21:38.023,1590870098023
0.075,30/05/2020 17:21:38.523,1590870098523
0.076,30/05/2020 17:21:39.023,1590870099023
0.073,30/05/2020 17:21:39.523,1590870099523
0.070,30/05/2020 17:21:40.023,1590870100023
0.073,30/05/2020 17:21:40.523,1590870100523
0.079,30/05/2020 17:21:41.023,1590870101023
0.079,30/05/2020 17:21:41.523,1590870101523
0.075,30/05/2020 17:21:42.023,1590870102023
0.073,30/05/2020 17:21:42.523,1590870102523
0.074,30/05/2020 17:21:43.023,1590870103023
0.079,30/05/2020 17:21:43.523,1590870103523
0.069,30/05/2020 17:21:44.023,1590870104023
0.074,30/05/2020 17:21:44.523,1590870104523
0.071,30/05/2020 17:21:45.023,1590870105023
0.074,30/05/2020 17:21:45.523,1590870105523
0.077,30/05/2020 17:21:46.023,1590870106023
0.075,30/05/2020 17:21:46.523,1590870106523
0.079,30/05/2020 17:21:47.023,1590870107023
0.075,30/05/2020 17:21:47.523,1590870107523
0.071,30/05/2020 17:21:48.023,1590870108023
0.071,30/05/2020 17:21:48.523,1590870108523
0.079,30/05/2020 17:21:49.023,1590870109023
0.078,30/05/2020 17:21:49.523,1590870109523
0.078,30/05/2020 17:21:50.023,1590870110023
0.077,30/05/2020 17:21:50.523,1590870110523
0.077,30/05/2020 17:21:51.023,1590870111023
0.076,30/05/2020 17:21:51.523,1590870111523
0.076,30/05/2020 17:21:52.023,1590870112023
0.074,30/05/2020 17:21:52.523,1590870112523
0.076,30/05/2020 17:21:53.023,1590870113023
0.075,30/05/2020 17:21:53.523,1590870113523
0.077,30/05/2020 17:21:54.023,1590870114023
0.076,30/05/2020 17:21:54.523,1590870114523
0.077,30/05/2020 17:21:55.023,1590870115023
0.073,30/05/2020 17:21:55.523,1590870115523
0.077,30/05/2020 17:21:56.023,1590870116023
0.077,30/05/2020 17:21:56.523,1590870116523
0.071,30/05/2020 17:21:57.023,1590870117023
0.074,30/05/2020 17:21:57.523,1590870117523
0.077,30/05/2020 17:21:58.023,1590870118023
0.077,30/05/2020 17:21:58.523,1590870118523
0.077,30/05/2020 17:21:59.023,1590870119023
0.073,30/05/2020 17:21:59.523,1590870119523
0.079,30/05/2020 17:22:00.023,1590870120023
0.079,30/05/2020 17:22:00.523,1590870120523
0.076,30/05/2020 17:22:01.023,1590870121023
0.076,30/05/2020 17:22:01.523,1590870121523
0.076,30/05/2020 17:22:02.023,1590870122023
0.075,30/05/2020 17:22:02.523,1590870122523
0.078,30/05/2020 17:22:03.023,1590870123023
0.076,30/05/2020 17:22:03.523,1590870123523
0.075,30/05/2020 17:22:04.023,1590870124023
0.078,30/05/2020 17:22:04.523,1590870124523
0.073,30/05/2020 17:22:05.023,1590870125023
0.078,30/05/2020 17:22:05.523,1590870125523
0.060,30/05/2020 17:22:06.023,1590870126023
0.076,30/05/2020 17:22:06.523,1590870126523
0.077,30/05/2020 17:22:07.023,1590870127023
0.076,30/05/2020 17:22:07.523,1590870127523
0.074,30/05/2020 17:22:08.023,1590870128023
0.077,30/05/2020 17:22:08.523,1590870128523
0.075,30/05/2020 17:22:09.023,1590870129023
0.077,30/05/2020 17:22:09.523,1590870129523
0.074,30/05/2020 17:22:10.023,1590870130023
0.077,30/05/2020 17:22:10.523,1590870130523
0.077,30/05/2020 17:22:11.023,1590870131023
0.077,30/05/2020 17:22:11.523,1590870131523
0.077,30/05/2020 17:22:12.023,1590870132023
0.075,30/05/2020 17:22:12.523,1590870132523
0.078,30/05/2020 17:22:13.023,1590870133023
0.077,30/05/2020 17:22:13.523,1590870133523
0.082,30/05/2020 17:22:14.023,1590870134023
0.076,30/05/2020 17:22:14.523,1590870134523
0.077,30/05/2020 17:22:15.023,1590870135023
0.079,30/05/2020 17:22:15.523,1590870135523
0.082,30/05/2020 17:22:16.023,1590870136023
0.082,30/05/2020 17:22:16.523,1590870136523
0.081,30/05/2020 17:22:17.023,1590870137023
0.085,30/05/2020 17:22:17.523,1590870137523
0.078,30/05/2020 17:22:18.023,1590870138023
0.081,30/05/2020 17:22:18.523,1590870138523
0.081,30/05/2020 17:22:19.023,1590870139023
0.079,30/05/2020 17:22:19.523,1590870139523
0.079,30/05/2020 17:22:20.023,1590870140023
0.080,30/05/2020 17:22:20.523,1590870140523
0.084,30/05/2020 17:22:21.023,1590870141023
0.081,30/05/2020 17:22:21.523,1590870141523
0.085,30/05/2020 17:22:22.023,1590870142023
0.076,30/05/2020 17:22:22.523,1590870142523
0.077,30/05/2020 17:22:23.023,1590870143023
0.084,30/05/2020 17:22:23.523,1590870143523
0.083,30/05/2020 17:22:24.023,1590870144023
0.085,30/05/2020 17:22:24.523,1590870144523
0.081,30/05/2020 17:22:25.023,1590870145023
0.078,30/05/2020 17:22:25.523,1590870145523
0.076,30/05/2020 17:22:26.023,1590870146023
0.081,30/05/2020 17:22:26.523,1590870146523
0.074,30/05/2020 17:22:27.023,1590870147023
0.079,30/05/2020 17:22:27.523,1590870147523
0.079,30/05/2020 17:22:28.023,1590870148023
0.080,30/05/2020 17:22:28.523,1590870148523
0.078,30/05/2020 17:22:29.023,1590870149023
0.079,30/05/2020 17:22:29.523,1590870149523
