ValoresRms,Tempo,TimeStamp
9.822,23/05/2020 06:29:32.882,1590226172882
9.822,23/05/2020 06:29:33.382,1590226173382
9.817,23/05/2020 06:29:33.882,1590226173882
9.822,23/05/2020 06:29:34.382,1590226174382
9.822,23/05/2020 06:29:34.882,1590226174882
9.822,23/05/2020 06:29:35.382,1590226175382
9.822,23/05/2020 06:29:35.882,1590226175882
9.822,23/05/2020 06:29:36.382,1590226176382
9.822,23/05/2020 06:29:36.882,1590226176882
9.822,23/05/2020 06:29:37.382,1590226177382
9.822,23/05/2020 06:29:37.882,1590226177882
9.822,23/05/2020 06:29:38.382,1590226178382
9.822,23/05/2020 06:29:38.882,1590226178882
9.822,23/05/2020 06:29:39.382,1590226179382
9.822,23/05/2020 06:29:39.882,1590226179882
9.822,23/05/2020 06:29:40.382,1590226180382
9.822,23/05/2020 06:29:40.882,1590226180882
9.822,23/05/2020 06:29:41.382,1590226181382
9.822,23/05/2020 06:29:41.882,1590226181882
9.822,23/05/2020 06:29:42.382,1590226182382
9.821,23/05/2020 06:29:42.882,1590226182882
9.822,23/05/2020 06:29:43.382,1590226183382
9.821,23/05/2020 06:29:43.882,1590226183882
9.822,23/05/2020 06:29:44.382,1590226184382
9.822,23/05/2020 06:29:44.882,1590226184882
9.822,23/05/2020 06:29:45.382,1590226185382
9.822,23/05/2020 06:29:45.882,1590226185882
9.822,23/05/2020 06:29:46.382,1590226186382
9.822,23/05/2020 06:29:46.882,1590226186882
9.822,23/05/2020 06:29:47.382,1590226187382
9.822,23/05/2020 06:29:47.882,1590226187882
9.822,23/05/2020 06:29:48.382,1590226188382
9.822,23/05/2020 06:29:48.882,1590226188882
9.822,23/05/2020 06:29:49.382,1590226189382
9.822,23/05/2020 06:29:49.882,1590226189882
9.822,23/05/2020 06:29:50.382,1590226190382
9.822,23/05/2020 06:29:50.882,1590226190882
9.822,23/05/2020 06:29:51.382,1590226191382
9.822,23/05/2020 06:29:51.882,1590226191882
9.822,23/05/2020 06:29:52.382,1590226192382
9.822,23/05/2020 06:29:52.882,1590226192882
9.822,23/05/2020 06:29:53.382,1590226193382
9.816,23/05/2020 06:29:53.882,1590226193882
9.822,23/05/2020 06:29:54.382,1590226194382
9.822,23/05/2020 06:29:54.882,1590226194882
9.822,23/05/2020 06:29:55.382,1590226195382
9.822,23/05/2020 06:29:55.882,1590226195882
9.822,23/05/2020 06:29:56.382,1590226196382
9.822,23/05/2020 06:29:56.882,1590226196882
9.822,23/05/2020 06:29:57.382,1590226197382
9.822,23/05/2020 06:29:57.882,1590226197882
9.822,23/05/2020 06:29:58.382,1590226198382
9.822,23/05/2020 06:29:58.882,1590226198882
9.822,23/05/2020 06:29:59.382,1590226199382
9.822,23/05/2020 06:29:59.882,1590226199882
9.822,23/05/2020 06:30:00.382,1590226200382
9.822,23/05/2020 06:30:00.882,1590226200882
9.822,23/05/2020 06:30:01.382,1590226201382
9.822,23/05/2020 06:30:01.882,1590226201882
9.822,23/05/2020 06:30:02.382,1590226202382
9.822,23/05/2020 06:30:02.882,1590226202882
9.822,23/05/2020 06:30:03.382,1590226203382
9.822,23/05/2020 06:30:03.882,1590226203882
9.822,23/05/2020 06:30:04.382,1590226204382
9.819,23/05/2020 06:30:04.882,1590226204882
9.822,23/05/2020 06:30:05.382,1590226205382
9.822,23/05/2020 06:30:05.882,1590226205882
9.822,23/05/2020 06:30:06.382,1590226206382
9.822,23/05/2020 06:30:06.882,1590226206882
9.822,23/05/2020 06:30:07.382,1590226207382
9.822,23/05/2020 06:30:07.882,1590226207882
9.822,23/05/2020 06:30:08.382,1590226208382
9.822,23/05/2020 06:30:08.882,1590226208882
9.822,23/05/2020 06:30:09.382,1590226209382
9.822,23/05/2020 06:30:09.882,1590226209882
9.822,23/05/2020 06:30:10.382,1590226210382
9.822,23/05/2020 06:30:10.882,1590226210882
9.822,23/05/2020 06:30:11.382,1590226211382
9.822,23/05/2020 06:30:11.882,1590226211882
9.822,23/05/2020 06:30:12.382,1590226212382
9.822,23/05/2020 06:30:12.882,1590226212882
9.822,23/05/2020 06:30:13.382,1590226213382
9.822,23/05/2020 06:30:13.882,1590226213882
9.822,23/05/2020 06:30:14.382,1590226214382
9.822,23/05/2020 06:30:14.882,1590226214882
9.822,23/05/2020 06:30:15.382,1590226215382
9.822,23/05/2020 06:30:15.882,1590226215882
9.822,23/05/2020 06:30:16.382,1590226216382
9.822,23/05/2020 06:30:16.882,1590226216882
9.822,23/05/2020 06:30:17.382,1590226217382
9.822,23/05/2020 06:30:17.882,1590226217882
9.822,23/05/2020 06:30:18.382,1590226218382
9.822,23/05/2020 06:30:18.882,1590226218882
9.822,23/05/2020 06:30:19.382,1590226219382
9.822,23/05/2020 06:30:19.882,1590226219882
9.822,23/05/2020 06:30:20.382,1590226220382
9.822,23/05/2020 06:30:20.882,1590226220882
9.822,23/05/2020 06:30:21.382,1590226221382
9.822,23/05/2020 06:30:21.882,1590226221882
9.822,23/05/2020 06:30:22.382,1590226222382
9.822,23/05/2020 06:30:22.882,1590226222882
9.822,23/05/2020 06:30:23.382,1590226223382
9.819,23/05/2020 06:30:23.882,1590226223882
9.822,23/05/2020 06:30:24.382,1590226224382
9.822,23/05/2020 06:30:24.882,1590226224882
9.822,23/05/2020 06:30:25.382,1590226225382
9.822,23/05/2020 06:30:25.882,1590226225882
9.822,23/05/2020 06:30:26.382,1590226226382
9.822,23/05/2020 06:30:26.882,1590226226882
9.822,23/05/2020 06:30:27.382,1590226227382
9.822,23/05/2020 06:30:27.882,1590226227882
9.822,23/05/2020 06:30:28.382,1590226228382
9.822,23/05/2020 06:30:28.882,1590226228882
9.822,23/05/2020 06:30:29.382,1590226229382
9.822,23/05/2020 06:30:29.882,1590226229882
9.822,23/05/2020 06:30:30.382,1590226230382
9.822,23/05/2020 06:30:30.882,1590226230882
9.822,23/05/2020 06:30:31.382,1590226231382
9.822,23/05/2020 06:30:31.882,1590226231882
9.822,23/05/2020 06:30:32.382,1590226232382
9.822,23/05/2020 06:30:32.882,1590226232882
9.822,23/05/2020 06:30:33.382,1590226233382
9.819,23/05/2020 06:30:33.882,1590226233882
9.822,23/05/2020 06:30:34.382,1590226234382
9.822,23/05/2020 06:30:34.882,1590226234882
9.822,23/05/2020 06:30:35.382,1590226235382
9.822,23/05/2020 06:30:35.882,1590226235882
9.822,23/05/2020 06:30:36.382,1590226236382
9.822,23/05/2020 06:30:36.882,1590226236882
9.822,23/05/2020 06:30:37.382,1590226237382
9.822,23/05/2020 06:30:37.882,1590226237882
9.822,23/05/2020 06:30:38.382,1590226238382
9.822,23/05/2020 06:30:38.882,1590226238882
