ValoresRms,Tempo,TimeStamp
0.070,31/05/2020 00:07:21.604,1590894441604
0.076,31/05/2020 00:07:22.104,1590894442104
0.073,31/05/2020 00:07:22.604,1590894442604
0.082,31/05/2020 00:07:23.104,1590894443104
0.087,31/05/2020 00:07:23.604,1590894443604
0.090,31/05/2020 00:07:24.104,1590894444104
0.093,31/05/2020 00:07:24.604,1590894444604
0.085,31/05/2020 00:07:25.104,1590894445104
0.085,31/05/2020 00:07:25.604,1590894445604
0.085,31/05/2020 00:07:26.104,1590894446104
0.083,31/05/2020 00:07:26.604,1590894446604
0.081,31/05/2020 00:07:27.104,1590894447104
0.087,31/05/2020 00:07:27.604,1590894447604
0.086,31/05/2020 00:07:28.104,1590894448104
0.089,31/05/2020 00:07:28.604,1590894448604
0.087,31/05/2020 00:07:29.104,1590894449104
0.086,31/05/2020 00:07:29.604,1590894449604
0.086,31/05/2020 00:07:30.104,1590894450104
0.089,31/05/2020 00:07:30.604,1590894450604
0.078,31/05/2020 00:07:31.104,1590894451104
0.086,31/05/2020 00:07:31.604,1590894451604
0.088,31/05/2020 00:07:32.104,1590894452104
0.087,31/05/2020 00:07:32.604,1590894452604
0.087,31/05/2020 00:07:33.104,1590894453104
0.082,31/05/2020 00:07:33.604,1590894453604
0.084,31/05/2020 00:07:34.104,1590894454104
0.084,31/05/2020 00:07:34.604,1590894454604
0.244,31/05/2020 00:07:35.104,1590894455104
0.075,31/05/2020 00:07:35.604,1590894455604
0.083,31/05/2020 00:07:36.104,1590894456104
0.083,31/05/2020 00:07:36.604,1590894456604
0.082,31/05/2020 00:07:37.104,1590894457104
0.084,31/05/2020 00:07:37.604,1590894457604
0.084,31/05/2020 00:07:38.104,1590894458104
0.083,31/05/2020 00:07:38.604,1590894458604
0.086,31/05/2020 00:07:39.104,1590894459104
0.075,31/05/2020 00:07:39.604,1590894459604
0.082,31/05/2020 00:07:40.104,1590894460104
0.084,31/05/2020 00:07:40.604,1590894460604
0.091,31/05/2020 00:07:41.104,1590894461104
0.035,31/05/2020 00:07:41.604,1590894461604
0.127,31/05/2020 00:07:42.104,1590894462104
0.072,31/05/2020 00:07:42.604,1590894462604
0.078,31/05/2020 00:07:43.104,1590894463104
0.066,31/05/2020 00:07:43.604,1590894463604
0.075,31/05/2020 00:07:44.104,1590894464104
0.080,31/05/2020 00:07:44.604,1590894464604
0.084,31/05/2020 00:07:45.104,1590894465104
0.086,31/05/2020 00:07:45.604,1590894465604
0.086,31/05/2020 00:07:46.104,1590894466104
0.088,31/05/2020 00:07:46.604,1590894466604
0.082,31/05/2020 00:07:47.104,1590894467104
0.092,31/05/2020 00:07:47.604,1590894467604
0.072,31/05/2020 00:07:48.104,1590894468104
0.074,31/05/2020 00:07:48.604,1590894468604
0.082,31/05/2020 00:07:49.104,1590894469104
0.081,31/05/2020 00:07:49.604,1590894469604
0.079,31/05/2020 00:07:50.104,1590894470104
0.079,31/05/2020 00:07:50.604,1590894470604
0.085,31/05/2020 00:07:51.104,1590894471104
0.085,31/05/2020 00:07:51.604,1590894471604
0.075,31/05/2020 00:07:52.104,1590894472104
0.077,31/05/2020 00:07:52.604,1590894472604
0.081,31/05/2020 00:07:53.104,1590894473104
0.082,31/05/2020 00:07:53.604,1590894473604
0.080,31/05/2020 00:07:54.104,1590894474104
0.082,31/05/2020 00:07:54.604,1590894474604
0.080,31/05/2020 00:07:55.104,1590894475104
0.085,31/05/2020 00:07:55.604,1590894475604
0.085,31/05/2020 00:07:56.104,1590894476104
0.078,31/05/2020 00:07:56.604,1590894476604
0.081,31/05/2020 00:07:57.104,1590894477104
0.083,31/05/2020 00:07:57.604,1590894477604
0.083,31/05/2020 00:07:58.104,1590894478104
0.082,31/05/2020 00:07:58.604,1590894478604
0.082,31/05/2020 00:07:59.104,1590894479104
0.082,31/05/2020 00:07:59.604,1590894479604
0.084,31/05/2020 00:08:00.104,1590894480104
0.079,31/05/2020 00:08:00.604,1590894480604
0.079,31/05/2020 00:08:01.104,1590894481104
0.077,31/05/2020 00:08:01.604,1590894481604
0.079,31/05/2020 00:08:02.104,1590894482104
0.082,31/05/2020 00:08:02.604,1590894482604
0.081,31/05/2020 00:08:03.104,1590894483104
0.078,31/05/2020 00:08:03.604,1590894483604
0.083,31/05/2020 00:08:04.104,1590894484104
0.083,31/05/2020 00:08:04.604,1590894484604
0.073,31/05/2020 00:08:05.104,1590894485104
0.085,31/05/2020 00:08:05.604,1590894485604
0.082,31/05/2020 00:08:06.104,1590894486104
0.083,31/05/2020 00:08:06.604,1590894486604
0.082,31/05/2020 00:08:07.104,1590894487104
0.082,31/05/2020 00:08:07.604,1590894487604
0.082,31/05/2020 00:08:08.104,1590894488104
0.083,31/05/2020 00:08:08.604,1590894488604
0.084,31/05/2020 00:08:09.104,1590894489104
0.080,31/05/2020 00:08:09.604,1590894489604
0.082,31/05/2020 00:08:10.104,1590894490104
0.080,31/05/2020 00:08:10.604,1590894490604
0.080,31/05/2020 00:08:11.104,1590894491104
0.082,31/05/2020 00:08:11.604,1590894491604
0.080,31/05/2020 00:08:12.104,1590894492104
0.081,31/05/2020 00:08:12.604,1590894492604
0.079,31/05/2020 00:08:13.104,1590894493104
0.076,31/05/2020 00:08:13.604,1590894493604
0.079,31/05/2020 00:08:14.104,1590894494104
0.081,31/05/2020 00:08:14.604,1590894494604
0.085,31/05/2020 00:08:15.104,1590894495104
0.083,31/05/2020 00:08:15.604,1590894495604
0.085,31/05/2020 00:08:16.104,1590894496104
0.080,31/05/2020 00:08:16.604,1590894496604
0.079,31/05/2020 00:08:17.104,1590894497104
0.085,31/05/2020 00:08:17.604,1590894497604
0.077,31/05/2020 00:08:18.104,1590894498104
0.079,31/05/2020 00:08:18.604,1590894498604
0.077,31/05/2020 00:08:19.104,1590894499104
0.076,31/05/2020 00:08:19.604,1590894499604
0.077,31/05/2020 00:08:20.104,1590894500104
0.038,31/05/2020 00:08:20.604,1590894500604
0.081,31/05/2020 00:08:21.104,1590894501104
0.080,31/05/2020 00:08:21.604,1590894501604
0.077,31/05/2020 00:08:22.104,1590894502104
0.078,31/05/2020 00:08:22.604,1590894502604
0.081,31/05/2020 00:08:23.104,1590894503104
0.077,31/05/2020 00:08:23.604,1590894503604
0.080,31/05/2020 00:08:24.104,1590894504104
0.078,31/05/2020 00:08:24.604,1590894504604
0.084,31/05/2020 00:08:25.104,1590894505104
0.080,31/05/2020 00:08:25.604,1590894505604
0.091,31/05/2020 00:08:26.104,1590894506104
0.076,31/05/2020 00:08:26.604,1590894506604
0.084,31/05/2020 00:08:27.104,1590894507104
0.081,31/05/2020 00:08:27.604,1590894507604
0.080,31/05/2020 00:08:28.104,1590894508104
0.083,31/05/2020 00:08:28.604,1590894508604
0.083,31/05/2020 00:08:29.104,1590894509104
0.085,31/05/2020 00:08:29.604,1590894509604
0.084,31/05/2020 00:08:30.104,1590894510104
0.080,31/05/2020 00:08:30.604,1590894510604
0.084,31/05/2020 00:08:31.104,1590894511104
0.082,31/05/2020 00:08:31.604,1590894511604
0.089,31/05/2020 00:08:32.104,1590894512104
0.083,31/05/2020 00:08:32.604,1590894512604
0.080,31/05/2020 00:08:33.104,1590894513104
0.079,31/05/2020 00:08:33.604,1590894513604
0.081,31/05/2020 00:08:34.104,1590894514104
0.080,31/05/2020 00:08:34.604,1590894514604
0.077,31/05/2020 00:08:35.104,1590894515104
0.057,31/05/2020 00:08:35.604,1590894515604
0.077,31/05/2020 00:08:36.104,1590894516104
0.081,31/05/2020 00:08:36.604,1590894516604
0.078,31/05/2020 00:08:37.104,1590894517104
