ValoresRms,Tempo,TimeStamp
9.821,23/05/2020 21:59:42.158,1590281982158
9.822,23/05/2020 21:59:42.658,1590281982658
9.822,23/05/2020 21:59:43.158,1590281983158
9.822,23/05/2020 21:59:43.658,1590281983658
9.822,23/05/2020 21:59:44.158,1590281984158
9.822,23/05/2020 21:59:44.658,1590281984658
9.822,23/05/2020 21:59:45.158,1590281985158
9.821,23/05/2020 21:59:45.658,1590281985658
9.822,23/05/2020 21:59:46.158,1590281986158
9.822,23/05/2020 21:59:46.658,1590281986658
9.821,23/05/2020 21:59:47.158,1590281987158
9.822,23/05/2020 21:59:47.658,1590281987658
9.822,23/05/2020 21:59:48.158,1590281988158
9.822,23/05/2020 21:59:48.658,1590281988658
9.821,23/05/2020 21:59:49.158,1590281989158
9.822,23/05/2020 21:59:49.658,1590281989658
9.822,23/05/2020 21:59:50.158,1590281990158
9.822,23/05/2020 21:59:50.658,1590281990658
9.822,23/05/2020 21:59:51.158,1590281991158
9.822,23/05/2020 21:59:51.658,1590281991658
9.822,23/05/2020 21:59:52.158,1590281992158
9.822,23/05/2020 21:59:52.658,1590281992658
9.822,23/05/2020 21:59:53.158,1590281993158
9.822,23/05/2020 21:59:53.658,1590281993658
9.822,23/05/2020 21:59:54.158,1590281994158
9.822,23/05/2020 21:59:54.658,1590281994658
9.822,23/05/2020 21:59:55.158,1590281995158
9.822,23/05/2020 21:59:55.658,1590281995658
9.822,23/05/2020 21:59:56.158,1590281996158
9.822,23/05/2020 21:59:56.658,1590281996658
9.822,23/05/2020 21:59:57.158,1590281997158
9.822,23/05/2020 21:59:57.658,1590281997658
9.822,23/05/2020 21:59:58.158,1590281998158
9.822,23/05/2020 21:59:58.658,1590281998658
9.822,23/05/2020 21:59:59.158,1590281999158
9.822,23/05/2020 21:59:59.658,1590281999658
9.820,23/05/2020 22:00:00.158,1590282000158
9.822,23/05/2020 22:00:00.658,1590282000658
9.822,23/05/2020 22:00:01.158,1590282001158
9.822,23/05/2020 22:00:01.658,1590282001658
9.822,23/05/2020 22:00:02.158,1590282002158
9.822,23/05/2020 22:00:02.658,1590282002658
9.818,23/05/2020 22:00:03.158,1590282003158
9.822,23/05/2020 22:00:03.658,1590282003658
9.822,23/05/2020 22:00:04.158,1590282004158
9.822,23/05/2020 22:00:04.658,1590282004658
9.822,23/05/2020 22:00:05.158,1590282005158
9.822,23/05/2020 22:00:05.658,1590282005658
9.822,23/05/2020 22:00:06.158,1590282006158
9.821,23/05/2020 22:00:06.658,1590282006658
9.822,23/05/2020 22:00:07.158,1590282007158
9.822,23/05/2020 22:00:07.658,1590282007658
9.822,23/05/2020 22:00:08.158,1590282008158
9.822,23/05/2020 22:00:08.658,1590282008658
9.822,23/05/2020 22:00:09.158,1590282009158
9.822,23/05/2020 22:00:09.658,1590282009658
9.822,23/05/2020 22:00:10.158,1590282010158
9.821,23/05/2020 22:00:10.658,1590282010658
9.822,23/05/2020 22:00:11.158,1590282011158
9.822,23/05/2020 22:00:11.658,1590282011658
9.822,23/05/2020 22:00:12.158,1590282012158
9.822,23/05/2020 22:00:12.658,1590282012658
9.822,23/05/2020 22:00:13.158,1590282013158
9.822,23/05/2020 22:00:13.658,1590282013658
9.822,23/05/2020 22:00:14.158,1590282014158
9.822,23/05/2020 22:00:14.658,1590282014658
9.822,23/05/2020 22:00:15.158,1590282015158
9.822,23/05/2020 22:00:15.658,1590282015658
9.822,23/05/2020 22:00:16.158,1590282016158
9.822,23/05/2020 22:00:16.658,1590282016658
9.822,23/05/2020 22:00:17.158,1590282017158
9.822,23/05/2020 22:00:17.658,1590282017658
9.822,23/05/2020 22:00:18.158,1590282018158
9.822,23/05/2020 22:00:18.658,1590282018658
9.822,23/05/2020 22:00:19.158,1590282019158
9.822,23/05/2020 22:00:19.658,1590282019658
9.822,23/05/2020 22:00:20.158,1590282020158
9.822,23/05/2020 22:00:20.658,1590282020658
9.822,23/05/2020 22:00:21.158,1590282021158
9.822,23/05/2020 22:00:21.658,1590282021658
9.822,23/05/2020 22:00:22.158,1590282022158
9.822,23/05/2020 22:00:22.658,1590282022658
9.822,23/05/2020 22:00:23.158,1590282023158
9.822,23/05/2020 22:00:23.658,1590282023658
9.822,23/05/2020 22:00:24.158,1590282024158
9.822,23/05/2020 22:00:24.658,1590282024658
9.822,23/05/2020 22:00:25.158,1590282025158
9.822,23/05/2020 22:00:25.658,1590282025658
9.822,23/05/2020 22:00:26.158,1590282026158
9.820,23/05/2020 22:00:26.658,1590282026658
9.821,23/05/2020 22:00:27.158,1590282027158
9.822,23/05/2020 22:00:27.658,1590282027658
9.822,23/05/2020 22:00:28.158,1590282028158
9.822,23/05/2020 22:00:28.658,1590282028658
9.822,23/05/2020 22:00:29.158,1590282029158
9.822,23/05/2020 22:00:29.658,1590282029658
9.821,23/05/2020 22:00:30.158,1590282030158
9.822,23/05/2020 22:00:30.658,1590282030658
9.822,23/05/2020 22:00:31.158,1590282031158
9.822,23/05/2020 22:00:31.658,1590282031658
9.822,23/05/2020 22:00:32.158,1590282032158
9.822,23/05/2020 22:00:32.658,1590282032658
9.822,23/05/2020 22:00:33.158,1590282033158
9.821,23/05/2020 22:00:33.658,1590282033658
9.822,23/05/2020 22:00:34.158,1590282034158
9.822,23/05/2020 22:00:34.658,1590282034658
9.822,23/05/2020 22:00:35.158,1590282035158
9.822,23/05/2020 22:00:35.658,1590282035658
9.822,23/05/2020 22:00:36.158,1590282036158
9.822,23/05/2020 22:00:36.658,1590282036658
9.822,23/05/2020 22:00:37.158,1590282037158
9.822,23/05/2020 22:00:37.658,1590282037658
9.822,23/05/2020 22:00:38.158,1590282038158
9.822,23/05/2020 22:00:38.658,1590282038658
9.822,23/05/2020 22:00:39.158,1590282039158
9.822,23/05/2020 22:00:39.658,1590282039658
9.822,23/05/2020 22:00:40.158,1590282040158
9.822,23/05/2020 22:00:40.658,1590282040658
9.822,23/05/2020 22:00:41.158,1590282041158
9.822,23/05/2020 22:00:41.658,1590282041658
9.822,23/05/2020 22:00:42.158,1590282042158
9.822,23/05/2020 22:00:42.658,1590282042658
9.822,23/05/2020 22:00:43.158,1590282043158
9.822,23/05/2020 22:00:43.658,1590282043658
9.822,23/05/2020 22:00:44.158,1590282044158
9.822,23/05/2020 22:00:44.658,1590282044658
9.822,23/05/2020 22:00:45.158,1590282045158
9.822,23/05/2020 22:00:45.658,1590282045658
9.822,23/05/2020 22:00:46.158,1590282046158
9.822,23/05/2020 22:00:46.658,1590282046658
9.822,23/05/2020 22:00:47.158,1590282047158
9.822,23/05/2020 22:00:47.658,1590282047658
9.822,23/05/2020 22:00:48.158,1590282048158
9.822,23/05/2020 22:00:48.658,1590282048658
9.821,23/05/2020 22:00:49.158,1590282049158
9.822,23/05/2020 22:00:49.658,1590282049658
9.822,23/05/2020 22:00:50.158,1590282050158
9.821,23/05/2020 22:00:50.658,1590282050658
9.822,23/05/2020 22:00:51.158,1590282051158
9.822,23/05/2020 22:00:51.658,1590282051658
9.822,23/05/2020 22:00:52.158,1590282052158
9.822,23/05/2020 22:00:52.658,1590282052658
9.822,23/05/2020 22:00:53.158,1590282053158
9.822,23/05/2020 22:00:53.658,1590282053658
9.822,23/05/2020 22:00:54.158,1590282054158
9.822,23/05/2020 22:00:54.658,1590282054658
9.822,23/05/2020 22:00:55.158,1590282055158
9.822,23/05/2020 22:00:55.658,1590282055658
9.821,23/05/2020 22:00:56.158,1590282056158
9.822,23/05/2020 22:00:56.658,1590282056658
9.822,23/05/2020 22:00:57.158,1590282057158
9.822,23/05/2020 22:00:57.658,1590282057658
9.822,23/05/2020 22:00:58.158,1590282058158
9.822,23/05/2020 22:00:58.658,1590282058658
9.822,23/05/2020 22:00:59.158,1590282059158
9.822,23/05/2020 22:00:59.658,1590282059658
9.822,23/05/2020 22:01:00.158,1590282060158
9.822,23/05/2020 22:01:00.658,1590282060658
9.822,23/05/2020 22:01:01.158,1590282061158
9.822,23/05/2020 22:01:01.658,1590282061658
9.822,23/05/2020 22:01:02.158,1590282062158
9.822,23/05/2020 22:01:02.658,1590282062658
9.822,23/05/2020 22:01:03.158,1590282063158
