ValoresRms,Tempo,TimeStamp
9.822,23/05/2020 23:19:36.546,1590286776546
9.822,23/05/2020 23:19:37.046,1590286777046
9.822,23/05/2020 23:19:37.546,1590286777546
9.822,23/05/2020 23:19:38.046,1590286778046
9.822,23/05/2020 23:19:38.546,1590286778546
9.822,23/05/2020 23:19:39.046,1590286779046
9.820,23/05/2020 23:19:39.546,1590286779546
9.822,23/05/2020 23:19:40.046,1590286780046
9.822,23/05/2020 23:19:40.546,1590286780546
9.822,23/05/2020 23:19:41.046,1590286781046
9.822,23/05/2020 23:19:41.546,1590286781546
9.821,23/05/2020 23:19:42.046,1590286782046
9.822,23/05/2020 23:19:42.546,1590286782546
9.821,23/05/2020 23:19:43.046,1590286783046
9.822,23/05/2020 23:19:43.546,1590286783546
9.822,23/05/2020 23:19:44.046,1590286784046
9.822,23/05/2020 23:19:44.546,1590286784546
9.822,23/05/2020 23:19:45.046,1590286785046
9.822,23/05/2020 23:19:45.546,1590286785546
9.822,23/05/2020 23:19:46.046,1590286786046
9.822,23/05/2020 23:19:46.546,1590286786546
9.822,23/05/2020 23:19:47.046,1590286787046
9.822,23/05/2020 23:19:47.546,1590286787546
9.822,23/05/2020 23:19:48.046,1590286788046
9.822,23/05/2020 23:19:48.546,1590286788546
9.821,23/05/2020 23:19:49.046,1590286789046
9.822,23/05/2020 23:19:49.546,1590286789546
9.822,23/05/2020 23:19:50.046,1590286790046
9.820,23/05/2020 23:19:50.546,1590286790546
9.822,23/05/2020 23:19:51.046,1590286791046
9.822,23/05/2020 23:19:51.546,1590286791546
9.822,23/05/2020 23:19:52.046,1590286792046
9.822,23/05/2020 23:19:52.546,1590286792546
9.821,23/05/2020 23:19:53.046,1590286793046
9.822,23/05/2020 23:19:53.546,1590286793546
9.822,23/05/2020 23:19:54.046,1590286794046
9.822,23/05/2020 23:19:54.546,1590286794546
9.822,23/05/2020 23:19:55.046,1590286795046
9.822,23/05/2020 23:19:55.546,1590286795546
9.822,23/05/2020 23:19:56.046,1590286796046
9.822,23/05/2020 23:19:56.546,1590286796546
9.821,23/05/2020 23:19:57.046,1590286797046
9.820,23/05/2020 23:19:57.546,1590286797546
9.818,23/05/2020 23:19:58.046,1590286798046
9.822,23/05/2020 23:19:58.546,1590286798546
9.822,23/05/2020 23:19:59.046,1590286799046
9.822,23/05/2020 23:19:59.546,1590286799546
9.821,23/05/2020 23:20:00.046,1590286800046
9.822,23/05/2020 23:20:00.546,1590286800546
