ValoresRms,Tempo,TimeStamp
9.822,23/05/2020 04:53:32.950,1590220412950
9.822,23/05/2020 04:53:33.450,1590220413450
9.822,23/05/2020 04:53:33.950,1590220413950
9.822,23/05/2020 04:53:34.450,1590220414450
9.822,23/05/2020 04:53:34.950,1590220414950
9.822,23/05/2020 04:53:35.450,1590220415450
9.822,23/05/2020 04:53:35.950,1590220415950
9.821,23/05/2020 04:53:36.450,1590220416450
9.822,23/05/2020 04:53:36.950,1590220416950
9.822,23/05/2020 04:53:37.450,1590220417450
9.821,23/05/2020 04:53:37.950,1590220417950
9.822,23/05/2020 04:53:38.450,1590220418450
9.822,23/05/2020 04:53:38.950,1590220418950
9.822,23/05/2020 04:53:39.450,1590220419450
9.822,23/05/2020 04:53:39.950,1590220419950
9.822,23/05/2020 04:53:40.450,1590220420450
9.821,23/05/2020 04:53:40.950,1590220420950
9.822,23/05/2020 04:53:41.450,1590220421450
9.822,23/05/2020 04:53:41.950,1590220421950
9.822,23/05/2020 04:53:42.450,1590220422450
9.822,23/05/2020 04:53:42.950,1590220422950
9.822,23/05/2020 04:53:43.450,1590220423450
9.822,23/05/2020 04:53:43.950,1590220423950
9.822,23/05/2020 04:53:44.450,1590220424450
9.822,23/05/2020 04:53:44.950,1590220424950
9.822,23/05/2020 04:53:45.450,1590220425450
9.822,23/05/2020 04:53:45.950,1590220425950
9.822,23/05/2020 04:53:46.450,1590220426450
9.821,23/05/2020 04:53:46.950,1590220426950
9.820,23/05/2020 04:53:47.450,1590220427450
9.822,23/05/2020 04:53:47.950,1590220427950
9.822,23/05/2020 04:53:48.450,1590220428450
9.822,23/05/2020 04:53:48.950,1590220428950
9.822,23/05/2020 04:53:49.450,1590220429450
9.821,23/05/2020 04:53:49.950,1590220429950
9.822,23/05/2020 04:53:50.450,1590220430450
9.822,23/05/2020 04:53:50.950,1590220430950
9.822,23/05/2020 04:53:51.450,1590220431450
9.822,23/05/2020 04:53:51.950,1590220431950
9.822,23/05/2020 04:53:52.450,1590220432450
9.822,23/05/2020 04:53:52.950,1590220432950
9.822,23/05/2020 04:53:53.450,1590220433450
9.822,23/05/2020 04:53:53.950,1590220433950
9.822,23/05/2020 04:53:54.450,1590220434450
9.822,23/05/2020 04:53:54.950,1590220434950
9.822,23/05/2020 04:53:55.450,1590220435450
9.822,23/05/2020 04:53:55.950,1590220435950
9.822,23/05/2020 04:53:56.450,1590220436450
9.822,23/05/2020 04:53:56.950,1590220436950
9.822,23/05/2020 04:53:57.450,1590220437450
9.822,23/05/2020 04:53:57.950,1590220437950
9.822,23/05/2020 04:53:58.450,1590220438450
9.820,23/05/2020 04:53:58.950,1590220438950
9.821,23/05/2020 04:53:59.450,1590220439450
9.822,23/05/2020 04:53:59.950,1590220439950
9.822,23/05/2020 04:54:00.450,1590220440450
9.822,23/05/2020 04:54:00.950,1590220440950
9.822,23/05/2020 04:54:01.450,1590220441450
9.822,23/05/2020 04:54:01.950,1590220441950
9.822,23/05/2020 04:54:02.450,1590220442450
9.822,23/05/2020 04:54:02.950,1590220442950
9.822,23/05/2020 04:54:03.450,1590220443450
9.822,23/05/2020 04:54:03.950,1590220443950
9.822,23/05/2020 04:54:04.450,1590220444450
9.822,23/05/2020 04:54:04.950,1590220444950
9.822,23/05/2020 04:54:05.450,1590220445450
9.821,23/05/2020 04:54:05.950,1590220445950
9.822,23/05/2020 04:54:06.450,1590220446450
9.822,23/05/2020 04:54:06.950,1590220446950
9.822,23/05/2020 04:54:07.450,1590220447450
9.822,23/05/2020 04:54:07.950,1590220447950
9.822,23/05/2020 04:54:08.450,1590220448450
9.819,23/05/2020 04:54:08.950,1590220448950
9.822,23/05/2020 04:54:09.450,1590220449450
9.821,23/05/2020 04:54:09.950,1590220449950
9.822,23/05/2020 04:54:10.450,1590220450450
9.821,23/05/2020 04:54:10.950,1590220450950
9.822,23/05/2020 04:54:11.450,1590220451450
9.822,23/05/2020 04:54:11.950,1590220451950
9.822,23/05/2020 04:54:12.450,1590220452450
9.822,23/05/2020 04:54:12.950,1590220452950
9.822,23/05/2020 04:54:13.450,1590220453450
9.822,23/05/2020 04:54:13.950,1590220453950
9.822,23/05/2020 04:54:14.450,1590220454450
9.822,23/05/2020 04:54:14.950,1590220454950
9.822,23/05/2020 04:54:15.450,1590220455450
9.820,23/05/2020 04:54:15.950,1590220455950
9.822,23/05/2020 04:54:16.450,1590220456450
9.822,23/05/2020 04:54:16.950,1590220456950
9.822,23/05/2020 04:54:17.450,1590220457450
9.822,23/05/2020 04:54:17.950,1590220457950
9.822,23/05/2020 04:54:18.450,1590220458450
9.822,23/05/2020 04:54:18.950,1590220458950
9.820,23/05/2020 04:54:19.450,1590220459450
9.822,23/05/2020 04:54:19.950,1590220459950
