ValoresRms,Tempo,TimeStamp
9.822,23/05/2020 21:28:23.318,1590280103318
9.822,23/05/2020 21:28:23.818,1590280103818
9.822,23/05/2020 21:28:24.318,1590280104318
9.822,23/05/2020 21:28:24.818,1590280104818
9.822,23/05/2020 21:28:25.318,1590280105318
9.822,23/05/2020 21:28:25.818,1590280105818
9.822,23/05/2020 21:28:26.318,1590280106318
9.822,23/05/2020 21:28:26.818,1590280106818
9.822,23/05/2020 21:28:27.318,1590280107318
9.821,23/05/2020 21:28:27.818,1590280107818
9.822,23/05/2020 21:28:28.318,1590280108318
9.822,23/05/2020 21:28:28.818,1590280108818
9.822,23/05/2020 21:28:29.318,1590280109318
9.821,23/05/2020 21:28:29.818,1590280109818
9.822,23/05/2020 21:28:30.318,1590280110318
9.822,23/05/2020 21:28:30.818,1590280110818
9.822,23/05/2020 21:28:31.318,1590280111318
9.820,23/05/2020 21:28:31.818,1590280111818
9.822,23/05/2020 21:28:32.318,1590280112318
9.822,23/05/2020 21:28:32.818,1590280112818
9.822,23/05/2020 21:28:33.318,1590280113318
9.822,23/05/2020 21:28:33.818,1590280113818
9.822,23/05/2020 21:28:34.318,1590280114318
9.822,23/05/2020 21:28:34.818,1590280114818
9.822,23/05/2020 21:28:35.318,1590280115318
9.821,23/05/2020 21:28:35.818,1590280115818
9.822,23/05/2020 21:28:36.318,1590280116318
9.822,23/05/2020 21:28:36.818,1590280116818
9.822,23/05/2020 21:28:37.318,1590280117318
9.822,23/05/2020 21:28:37.818,1590280117818
9.822,23/05/2020 21:28:38.318,1590280118318
9.822,23/05/2020 21:28:38.818,1590280118818
9.822,23/05/2020 21:28:39.318,1590280119318
9.822,23/05/2020 21:28:39.818,1590280119818
9.822,23/05/2020 21:28:40.318,1590280120318
9.822,23/05/2020 21:28:40.818,1590280120818
9.822,23/05/2020 21:28:41.318,1590280121318
9.822,23/05/2020 21:28:41.818,1590280121818
9.822,23/05/2020 21:28:42.318,1590280122318
9.822,23/05/2020 21:28:42.818,1590280122818
9.822,23/05/2020 21:28:43.318,1590280123318
9.822,23/05/2020 21:28:43.818,1590280123818
9.822,23/05/2020 21:28:44.318,1590280124318
9.822,23/05/2020 21:28:44.818,1590280124818
9.822,23/05/2020 21:28:45.318,1590280125318
9.822,23/05/2020 21:28:45.818,1590280125818
9.822,23/05/2020 21:28:46.318,1590280126318
9.822,23/05/2020 21:28:46.818,1590280126818
9.822,23/05/2020 21:28:47.318,1590280127318
9.822,23/05/2020 21:28:47.818,1590280127818
9.822,23/05/2020 21:28:48.318,1590280128318
9.822,23/05/2020 21:28:48.818,1590280128818
9.822,23/05/2020 21:28:49.318,1590280129318
9.820,23/05/2020 21:28:49.818,1590280129818
9.820,23/05/2020 21:28:50.318,1590280130318
9.822,23/05/2020 21:28:50.818,1590280130818
9.820,23/05/2020 21:28:51.318,1590280131318
9.822,23/05/2020 21:28:51.818,1590280131818
9.822,23/05/2020 21:28:52.318,1590280132318
9.822,23/05/2020 21:28:52.818,1590280132818
9.822,23/05/2020 21:28:53.318,1590280133318
9.822,23/05/2020 21:28:53.818,1590280133818
9.822,23/05/2020 21:28:54.318,1590280134318
9.822,23/05/2020 21:28:54.818,1590280134818
9.821,23/05/2020 21:28:55.318,1590280135318
