ValoresRms,Tempo,TimeStamp
9.822,27/05/2020 04:31:29.879,1590564689879
9.822,27/05/2020 04:31:30.379,1590564690379
9.822,27/05/2020 04:31:30.879,1590564690879
9.822,27/05/2020 04:31:31.379,1590564691379
9.822,27/05/2020 04:31:31.879,1590564691879
9.822,27/05/2020 04:31:32.379,1590564692379
9.822,27/05/2020 04:31:32.879,1590564692879
9.822,27/05/2020 04:31:33.379,1590564693379
9.822,27/05/2020 04:31:33.879,1590564693879
9.822,27/05/2020 04:31:34.379,1590564694379
9.822,27/05/2020 04:31:34.879,1590564694879
9.822,27/05/2020 04:31:35.379,1590564695379
9.822,27/05/2020 04:31:35.879,1590564695879
9.822,27/05/2020 04:31:36.379,1590564696379
9.822,27/05/2020 04:31:36.879,1590564696879
9.822,27/05/2020 04:31:37.379,1590564697379
9.822,27/05/2020 04:31:37.879,1590564697879
9.822,27/05/2020 04:31:38.379,1590564698379
9.822,27/05/2020 04:31:38.879,1590564698879
9.822,27/05/2020 04:31:39.379,1590564699379
9.822,27/05/2020 04:31:39.879,1590564699879
9.822,27/05/2020 04:31:40.379,1590564700379
9.822,27/05/2020 04:31:40.879,1590564700879
9.822,27/05/2020 04:31:41.379,1590564701379
9.819,27/05/2020 04:31:41.879,1590564701879
9.822,27/05/2020 04:31:42.379,1590564702379
9.822,27/05/2020 04:31:42.879,1590564702879
9.822,27/05/2020 04:31:43.379,1590564703379
9.822,27/05/2020 04:31:43.879,1590564703879
9.822,27/05/2020 04:31:44.379,1590564704379
9.822,27/05/2020 04:31:44.879,1590564704879
9.822,27/05/2020 04:31:45.379,1590564705379
9.822,27/05/2020 04:31:45.879,1590564705879
9.822,27/05/2020 04:31:46.379,1590564706379
9.822,27/05/2020 04:31:46.879,1590564706879
9.822,27/05/2020 04:31:47.379,1590564707379
9.822,27/05/2020 04:31:47.879,1590564707879
9.822,27/05/2020 04:31:48.379,1590564708379
9.822,27/05/2020 04:31:48.879,1590564708879
9.822,27/05/2020 04:31:49.379,1590564709379
9.822,27/05/2020 04:31:49.879,1590564709879
9.822,27/05/2020 04:31:50.379,1590564710379
9.822,27/05/2020 04:31:50.879,1590564710879
9.822,27/05/2020 04:31:51.379,1590564711379
9.821,27/05/2020 04:31:51.879,1590564711879
9.822,27/05/2020 04:31:52.379,1590564712379
9.822,27/05/2020 04:31:52.879,1590564712879
9.822,27/05/2020 04:31:53.379,1590564713379
9.822,27/05/2020 04:31:53.879,1590564713879
9.822,27/05/2020 04:31:54.379,1590564714379
9.822,27/05/2020 04:31:54.879,1590564714879
9.822,27/05/2020 04:31:55.379,1590564715379
9.822,27/05/2020 04:31:55.879,1590564715879
9.822,27/05/2020 04:31:56.379,1590564716379
9.822,27/05/2020 04:31:56.879,1590564716879
9.822,27/05/2020 04:31:57.379,1590564717379
9.822,27/05/2020 04:31:57.879,1590564717879
9.822,27/05/2020 04:31:58.379,1590564718379
9.822,27/05/2020 04:31:58.879,1590564718879
9.822,27/05/2020 04:31:59.379,1590564719379
9.822,27/05/2020 04:31:59.879,1590564719879
9.822,27/05/2020 04:32:00.379,1590564720379
9.822,27/05/2020 04:32:00.879,1590564720879
9.822,27/05/2020 04:32:01.379,1590564721379
9.822,27/05/2020 04:32:01.879,1590564721879
9.822,27/05/2020 04:32:02.379,1590564722379
9.822,27/05/2020 04:32:02.879,1590564722879
9.822,27/05/2020 04:32:03.379,1590564723379
9.822,27/05/2020 04:32:03.879,1590564723879
9.822,27/05/2020 04:32:04.379,1590564724379
9.822,27/05/2020 04:32:04.879,1590564724879
9.822,27/05/2020 04:32:05.379,1590564725379
9.822,27/05/2020 04:32:05.879,1590564725879
9.822,27/05/2020 04:32:06.379,1590564726379
9.822,27/05/2020 04:32:06.879,1590564726879
9.822,27/05/2020 04:32:07.379,1590564727379
9.822,27/05/2020 04:32:07.879,1590564727879
9.822,27/05/2020 04:32:08.379,1590564728379
9.822,27/05/2020 04:32:08.879,1590564728879
9.822,27/05/2020 04:32:09.379,1590564729379
9.822,27/05/2020 04:32:09.879,1590564729879
9.822,27/05/2020 04:32:10.379,1590564730379
9.822,27/05/2020 04:32:10.879,1590564730879
9.822,27/05/2020 04:32:11.379,1590564731379
9.820,27/05/2020 04:32:11.879,1590564731879
9.822,27/05/2020 04:32:12.379,1590564732379
9.822,27/05/2020 04:32:12.879,1590564732879
9.822,27/05/2020 04:32:13.379,1590564733379
9.822,27/05/2020 04:32:13.879,1590564733879
9.822,27/05/2020 04:32:14.379,1590564734379
9.822,27/05/2020 04:32:14.879,1590564734879
9.822,27/05/2020 04:32:15.379,1590564735379
9.822,27/05/2020 04:32:15.879,1590564735879
9.822,27/05/2020 04:32:16.379,1590564736379
9.822,27/05/2020 04:32:16.879,1590564736879
9.822,27/05/2020 04:32:17.379,1590564737379
9.822,27/05/2020 04:32:17.879,1590564737879
9.822,27/05/2020 04:32:18.379,1590564738379
9.822,27/05/2020 04:32:18.879,1590564738879
9.822,27/05/2020 04:32:19.379,1590564739379
9.822,27/05/2020 04:32:19.879,1590564739879
9.822,27/05/2020 04:32:20.379,1590564740379
9.822,27/05/2020 04:32:20.879,1590564740879
9.822,27/05/2020 04:32:21.379,1590564741379
9.819,27/05/2020 04:32:21.879,1590564741879
9.822,27/05/2020 04:32:22.379,1590564742379
9.822,27/05/2020 04:32:22.879,1590564742879
9.822,27/05/2020 04:32:23.379,1590564743379
9.822,27/05/2020 04:32:23.879,1590564743879
9.822,27/05/2020 04:32:24.379,1590564744379
9.822,27/05/2020 04:32:24.879,1590564744879
9.822,27/05/2020 04:32:25.379,1590564745379
9.822,27/05/2020 04:32:25.879,1590564745879
9.822,27/05/2020 04:32:26.379,1590564746379
9.822,27/05/2020 04:32:26.879,1590564746879
9.822,27/05/2020 04:32:27.379,1590564747379
9.822,27/05/2020 04:32:27.879,1590564747879
9.822,27/05/2020 04:32:28.379,1590564748379
9.822,27/05/2020 04:32:28.879,1590564748879
9.822,27/05/2020 04:32:29.379,1590564749379
9.822,27/05/2020 04:32:29.879,1590564749879
9.822,27/05/2020 04:32:30.379,1590564750379
9.822,27/05/2020 04:32:30.879,1590564750879
9.822,27/05/2020 04:32:31.379,1590564751379
9.821,27/05/2020 04:32:31.879,1590564751879
9.822,27/05/2020 04:32:32.379,1590564752379
9.822,27/05/2020 04:32:32.879,1590564752879
9.822,27/05/2020 04:32:33.379,1590564753379
9.822,27/05/2020 04:32:33.879,1590564753879
9.822,27/05/2020 04:32:34.379,1590564754379
9.822,27/05/2020 04:32:34.879,1590564754879
9.822,27/05/2020 04:32:35.379,1590564755379
9.822,27/05/2020 04:32:35.879,1590564755879
9.822,27/05/2020 04:32:36.379,1590564756379
9.822,27/05/2020 04:32:36.879,1590564756879
9.822,27/05/2020 04:32:37.379,1590564757379
9.822,27/05/2020 04:32:37.879,1590564757879
9.822,27/05/2020 04:32:38.379,1590564758379
9.822,27/05/2020 04:32:38.879,1590564758879
9.822,27/05/2020 04:32:39.379,1590564759379
9.822,27/05/2020 04:32:39.879,1590564759879
9.822,27/05/2020 04:32:40.379,1590564760379
9.822,27/05/2020 04:32:40.879,1590564760879
9.822,27/05/2020 04:32:41.379,1590564761379
9.822,27/05/2020 04:32:41.879,1590564761879
9.822,27/05/2020 04:32:42.379,1590564762379
9.822,27/05/2020 04:32:42.879,1590564762879
9.822,27/05/2020 04:32:43.379,1590564763379
9.822,27/05/2020 04:32:43.879,1590564763879
9.822,27/05/2020 04:32:44.379,1590564764379
9.822,27/05/2020 04:32:44.879,1590564764879
9.822,27/05/2020 04:32:45.379,1590564765379
9.822,27/05/2020 04:32:45.879,1590564765879
9.822,27/05/2020 04:32:46.379,1590564766379
9.822,27/05/2020 04:32:46.879,1590564766879
9.822,27/05/2020 04:32:47.379,1590564767379
9.822,27/05/2020 04:32:47.879,1590564767879
9.822,27/05/2020 04:32:48.379,1590564768379
9.822,27/05/2020 04:32:48.879,1590564768879
9.822,27/05/2020 04:32:49.379,1590564769379
9.822,27/05/2020 04:32:49.879,1590564769879
9.822,27/05/2020 04:32:50.379,1590564770379
9.822,27/05/2020 04:32:50.879,1590564770879
9.822,27/05/2020 04:32:51.379,1590564771379
9.818,27/05/2020 04:32:51.879,1590564771879
9.822,27/05/2020 04:32:52.379,1590564772379
9.822,27/05/2020 04:32:52.879,1590564772879
9.822,27/05/2020 04:32:53.379,1590564773379
